,project,has_repo,repo_sha,repo_commits,repo_size,has_wiki,wiki_sha,wiki_commits,wiki_size,image_refs,normal_analysis,has_readme,wiki_pages,extended_analysis,has_readme_ever,wiki_pages_ever
11,twbs/bootstrap,TRUE,22503d6b21a3530d2f312c0a8c0ce1c2956fc146,9201,234292,TRUE,19f63232b87bd3ea04d9b2a9219153e15bd82693,114,240,29,COMPLETED,TRUE,1,COMPLETED,TRUE,13
12,getify/You-Dont-Know-JS,TRUE,537e9a0024280e5b654994562a5797014407f191,1468,17516,TRUE,8890b46225778eccc9df9a453c6cdd7bb572ec59,15,352,8,COMPLETED,TRUE,1,COMPLETED,TRUE,4
13,CyC2018/CS-Notes,TRUE,2c31eddf3481a31ab5c10ebced395497c6bf9d61,2826,157944,TRUE,4dd37b9d7350cd8f5e3601fe5975b9ef9ba5ad98,5,188,18,COMPLETED,TRUE,1,COMPLETED,TRUE,2
14,ohmyzsh/ohmyzsh,TRUE,4c82a2eedf0c43d47601ffa8b0303ed1326fab8f,3606,18656,TRUE,4f600f7a96f92188dcace7a645c31734e558624b,1603,1608,364,COMPLETED,TRUE,23,COMPLETED,TRUE,55
15,trekhleb/javascript-algorithms,TRUE,cb7afe18ef003995d8e23cc0b179ee7e37e8a19e,975,9912,FALSE,,,,3,COMPLETED,TRUE,0,COMPLETED,TRUE,0
16,flutter/flutter,TRUE,06810e2feb00516d657825f0fd653fa05d57f557,25546,309880,TRUE,28105ee7947414c539df318e7af91a63cd52d9ed,3085,7588,45,COMPLETED,TRUE,144,TIMEOUT,,
17,TheAlgorithms/Python,TRUE,c86aa72cfa0467bd9a5711d7b5a77ed8243e49f1,1883,29152,TRUE,e95883b603acd37bf6072783e664485a22766acc,8,204,11,COMPLETED,TRUE,2,COMPLETED,TRUE,2
18,github/gitignore,TRUE,e5323759e387ba347a9d50f8b0ddd16502eb71d4,1684,3932,FALSE,,,,0,COMPLETED,TRUE,0,COMPLETED,TRUE,0
19,torvalds/linux,TRUE,a111daf0c53ae91e71fd2bfe7497862d14132e3e,65290,5497004,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,FALSE,0
20,microsoft/vscode,TRUE,4c72dedb4ad283a569f83a7389468c3ae2c642c3,39325,672988,TRUE,68bb16e004cfae43b282e1bfcc5b5567de4a527e,1735,13872,58,COMPLETED,TRUE,72,TIMEOUT,,
21,vinta/awesome-python,TRUE,edf110dd9f2e05692966cb65a001ce697a2da0f2,936,7112,FALSE,,,,1,COMPLETED,TRUE,0,COMPLETED,TRUE,0
22,airbnb/javascript,TRUE,cbf9ade10a2f6f06c9da6dbfa25b344bee4bbef6,1439,4508,TRUE,daa4838d85b79d1e40215a0005369a703fc8d975,3,188,3,COMPLETED,TRUE,1,COMPLETED,TRUE,2
23,Snailclimb/JavaGuide,TRUE,6c3b0d081be55d169ae206b89e30b6dddb98eb56,2930,167196,FALSE,,,,10,COMPLETED,TRUE,0,COMPLETED,TRUE,0
24,ossu/computer-science,TRUE,ee63ae2f348866c561b39d3e7586bf8635138285,525,1556,TRUE,8d93b3d558c409165951ac1c3178bbd19685c3cc,96,328,4,COMPLETED,TRUE,17,COMPLETED,TRUE,25
25,ytdl-org/youtube-dl,TRUE,8a158a936c8b002ef536e9e2b778ded02c09c0fa,15477,75620,FALSE,,,,1,COMPLETED,TRUE,0,TIMEOUT,,
26,labuladong/fucking-algorithm,TRUE,47a867e32928a431169aa302d358048738a9bafc,174,168460,FALSE,,,,11,COMPLETED,TRUE,0,COMPLETED,TRUE,0
27,jlevy/the-art-of-command-line,TRUE,f79f79cfe6c2195a5bd6e1926cbf6bffddbc8745,433,3976,TRUE,f477a6dd1cbe0acc83cc963855cd9516d38bce51,1,188,1,COMPLETED,TRUE,1,COMPLETED,TRUE,1
28,facebook/react-native,TRUE,e5c5dcd9e26e9443f59864d9763b049e0bda98e7,22529,938868,TRUE,eaf9e7137ce8e2463848eca0adec36d7bafb8221,343,696,6,COMPLETED,TRUE,28,TIMEOUT,,
29,electron/electron,TRUE,6f8bfdeb7a52706fa9af51ade587955a8ae63795,11665,158036,TRUE,8a5bd42f8aeaec019951ed36726e78abc81f207b,71,320,4,COMPLETED,TRUE,21,TIMEOUT,,
30,d3/d3,TRUE,2f256d997879aef15d0a8f7e94a242dbc57d0106,1662,44248,TRUE,cecbbd1e538e519605a2e4a163f46315918e9a0b,4807,17392,520,COMPLETED,TRUE,62,COMPLETED,TRUE,251
31,golang/go,TRUE,527ace0ffa81d59698d3a78ac3545de7295ea76b,49499,482036,TRUE,25958b281f262d5a0d6d460c1286818eff9367a7,8091,7488,32,COMPLETED,TRUE,158,TIMEOUT,,
32,30-seconds/30-seconds-of-code,TRUE,38dcfb0412bd489e03b8d7d918b2a8086f48646e,2817,32560,FALSE,,,,1,COMPLETED,TRUE,0,TIMEOUT,,
33,facebook/create-react-app,TRUE,cee26589ff919e946030a5651a93ccba78a93293,2625,35920,FALSE,,,,6,COMPLETED,TRUE,0,COMPLETED,TRUE,0
34,justjavac/free-programming-books-zh_CN,TRUE,26ee90531bc0271bf32e22f3934359e2a84a21e6,579,1428,FALSE,,,,6,COMPLETED,TRUE,0,COMPLETED,TRUE,0
35,kubernetes/kubernetes,TRUE,609db7ed0b1f2839e414c17d29fe4d76edc994bd,46309,1254248,TRUE,eeb4f0c8b2080f3772cf9908d8bd63819dfb35c8,432,392,3,COMPLETED,TRUE,3,TIMEOUT,,
36,nodejs/node,TRUE,028a0a3723021a2f681502f19711b1c54d0fb6b4,33162,1500612,TRUE,174c976ebe079551a2337880b20a4d2c85aceabb,331,5068,18,TIMEOUT,,,TIMEOUT,,
37,vercel/next.js,TRUE,c84c7c8c3e0302c738cc2df9085c574df7872c4c,10522,1855348,TRUE,dbdbc918c81770e4aea4051d610d1f29f8961c7d,167,284,0,COMPLETED,FALSE,7,COMPLETED,TRUE,26
38,microsoft/terminal,TRUE,848314ef17419430153561016d1fabe912338844,1161,173716,TRUE,284f3083236cf107dc47323a08ff944fb3a5eaf1,45,544,17,COMPLETED,TRUE,11,COMPLETED,TRUE,11
39,denoland/deno,TRUE,60869c2598321386f57e55537e8c99ed011fbb95,6992,106172,TRUE,0be9119152e0980a6b61127d5b0697a56ba10392,15,208,4,COMPLETED,TRUE,1,COMPLETED,TRUE,1
40,mrdoob/three.js,TRUE,90165b4e55a56e1f6c16f11a76a13a5f8952249a,20384,1716280,TRUE,3debd327b6dcbc9662e4b45e687fa3aabf8c2df0,1428,1224,5,TIMEOUT,,,TIMEOUT,,
41,avelino/awesome-go,TRUE,038e8e11bf661506ea88923bfdc947db839642d3,3026,12356,FALSE,,,,13,COMPLETED,TRUE,0,COMPLETED,TRUE,0
42,angular/angular,TRUE,f94c6f433dba3924b79f137cfcc49d2dfd4d679c,23707,532956,TRUE,5783a029459beb478684866c7622dc4f39c3d229,86,272,6,COMPLETED,TRUE,10,TIMEOUT,,
43,microsoft/TypeScript,TRUE,96d298c4bcfc5b3ff2333ce066f5e0a5c80fc844,11104,2354276,TRUE,4e603759bb04e0c35290b54d114c09cccda5c3f6,1368,7072,13,TIMEOUT,,,TIMEOUT,,
44,ant-design/ant-design,TRUE,8d05774053138e807755c616ba1cf3fa296200dd,11076,1069896,TRUE,409bf652cab0d74a375b403ae373f43e7fe9f20e,323,456,53,COMPLETED,TRUE,18,TIMEOUT,,
45,mui/material-ui,TRUE,2583f02ea35d1b5d837eb51e59a57ab639d8e6e9,11128,554400,TRUE,31a4224b4fe9e553aaf4258afe60ec6dc7b3c8af,19,200,28,COMPLETED,TRUE,2,TIMEOUT,,
46,puppeteer/puppeteer,TRUE,3d1ec573fb0329553949d4a16182efcefc373b81,2733,60788,FALSE,,,,3,COMPLETED,TRUE,0,COMPLETED,TRUE,0
47,goldbergyoni/nodebestpractices,TRUE,9517b17a0b2e35b117e679ee337e3ed5afa66f5c,1056,83440,FALSE,,,,365,COMPLETED,TRUE,0,COMPLETED,TRUE,0
48,PanJiaChen/vue-element-admin,TRUE,0caa975ee224074c77540107b1fe076081cdf306,906,18640,TRUE,8af7b0f45b73d96e4ec2e59110676298cf4f54f1,33,208,16,COMPLETED,TRUE,2,COMPLETED,TRUE,3
49,iluwatar/java-design-patterns,TRUE,4cdc309e65f3a1eae597ecb3b22e5ad6b7abbd41,1722,62012,TRUE,e214a81d73c4287cc843d4607064223d696ace24,425,468,205,COMPLETED,TRUE,20,COMPLETED,TRUE,43
50,microsoft/PowerToys,TRUE,2159e2722e3a4140d464298ba1b388ef3ce62616,2996,355388,TRUE,0aa273add58b8486331e86e9600a8b243326cac4,443,273808,81,COMPLETED,TRUE,36,COMPLETED,TRUE,60
51,tensorflow/models,TRUE,8fcee5c16de6ae2e3d192b06257f565d27095fc9,5295,666312,TRUE,d5a3337d9087cb6e6339fbec1926d54f22a50406,84,268,25,COMPLETED,TRUE,11,COMPLETED,TRUE,15
52,yangshun/tech-interview-handbook,TRUE,6420341030695696276f0b077958e5bef4867d97,599,29460,FALSE,,,,15,COMPLETED,TRUE,0,COMPLETED,TRUE,0
53,nvbn/thefuck,TRUE,5198b34f24ca4bc414a5bf1b0288ee86ea2529a8,915,7516,TRUE,6c81b76e3f19889940375360bb197254866d175a,68,232,7,COMPLETED,TRUE,5,COMPLETED,TRUE,7
54,storybookjs/storybook,TRUE,3863591a8fe1ab1c9b8cc5ede25fe9eb8ea0cc72,11285,591444,TRUE,e3d8bd6c20e08877724fa8fda35aac8f0a64204e,3,188,75,COMPLETED,TRUE,1,COMPLETED,TRUE,2
55,MisterBooo/LeetCodeAnimation,TRUE,fd42771f5e384625b4d4699becd09a09d0503211,151,1261680,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,FALSE,0
56,trimstray/the-book-of-secret-knowledge,TRUE,945e21b6a41f3a162e18a100775ff4f922f5ea31,831,2364,FALSE,,,,7,COMPLETED,TRUE,0,COMPLETED,TRUE,0
57,laravel/laravel,TRUE,1f9eee06ddb38abf86e2f7df37a20281cd774e3d,3500,12096,TRUE,a30d5660cfffdb3102f29de42ef361841bb26b57,29,208,5,COMPLETED,TRUE,4,COMPLETED,TRUE,4
58,FortAwesome/Font-Awesome,TRUE,b452a2c086a5e3f319df61b1ce1db7d8e1ad2b7c,7,168552,TRUE,c8e247fd8c1b2abfa1b1a41d0283241d0dfe8469,227,416,1,COMPLETED,TRUE,10,COMPLETED,TRUE,19
59,ryanmcdermott/clean-code-javascript,TRUE,3ff9eba6d460f31db8146762bade4fcc32626762,227,820,FALSE,,,,1,COMPLETED,TRUE,0,COMPLETED,TRUE,0
60,rust-lang/rust,TRUE,611e7b9cea2b982b63de7f6697b2a9079b0bf188,35265,1200172,TRUE,029a999f7a641ee25596aa00ca09f6b760f1d10e,4306,3608,0,COMPLETED,TRUE,70,TIMEOUT,,
61,Genymobile/scrcpy,TRUE,ed84e18b1ae3e51d368f8c7bc88ba4db088e6855,1469,6552,FALSE,,,,3,COMPLETED,TRUE,0,COMPLETED,TRUE,0
62,gothinkster/realworld,TRUE,3e581cb2de90fe68f25fd3bfc428af27e528336f,529,8752,TRUE,e342bf2e213ed1bd66a22f8bc86e313382a1c20a,1,188,6,COMPLETED,TRUE,1,COMPLETED,TRUE,1
63,vuejs/awesome-vue,TRUE,3554feb02639abfc22517d3ef2869347a51b7664,3332,13372,TRUE,6b2b8793b18546d9ca08c99e88435d7da82b5d00,1,204,4,COMPLETED,TRUE,1,COMPLETED,TRUE,1
64,huggingface/transformers,TRUE,6589e510fa4e6c442059de2fab84752535de9b23,7964,145048,FALSE,,,,10,COMPLETED,TRUE,0,COMPLETED,TRUE,0
65,bitcoin/bitcoin,TRUE,8e7eeb5971444c0c93e9a89bbdcc3a51a19e09e9,12573,259132,FALSE,,,,0,COMPLETED,TRUE,0,COMPLETED,TRUE,0
66,django/django,TRUE,d19a53d8e3640e8f937048bf7826c7e2229a9665,29863,309340,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,FALSE,0
67,tonsky/FiraCode,TRUE,022693f6f025d913d105d3dabaa611428dc0bd32,508,95384,TRUE,dea9f134b647602625914439c59d4b6bc8750946,390,476,28,COMPLETED,TRUE,25,COMPLETED,TRUE,39
68,doocs/advanced-java,TRUE,f7b6710972efd28f180e993179e885934589a3fa,551,44380,FALSE,,,,12,COMPLETED,TRUE,0,COMPLETED,TRUE,0
69,moby/moby,TRUE,74286cba8c2c14d5360caec44d2da74858e9c707,16044,279720,TRUE,2e415f4580d5bb2d8a2833fd1eb42c734e53f906,343,512,1,COMPLETED,TRUE,22,TIMEOUT,,
70,opencv/opencv,TRUE,734e309b3e141a82fbdbcc8cb85dec382e38f050,11182,722884,TRUE,7d66720940126e4cfe10f652dc2a216391cc1a3a,1857,90936,197,COMPLETED,TRUE,122,TIMEOUT,,
71,papers-we-love/papers-we-love,TRUE,50717bd58ad9def1560686cadc87d175938bd1c0,542,430664,TRUE,527ea9ced14700d3704ba4fefb223d9b0d33c85e,48,228,3,COMPLETED,TRUE,6,COMPLETED,TRUE,10
72,spring-projects/spring-boot,TRUE,f1631c9510f1348571068812db5cb063aa7d7fed,20693,244308,TRUE,7f19b08de7eda922a944815d2820ee930398fa51,2049,25136,0,COMPLETED,FALSE,171,TIMEOUT,,
73,typicode/json-server,TRUE,57af3860d95752700894f26e2c3b7a53697694fd,756,4460,TRUE,32b3ea76b97de550dde8d10774e9ff7c49d6f7f8,2,188,5,COMPLETED,TRUE,1,COMPLETED,TRUE,2
74,webpack/webpack,TRUE,e2f1592f7e4d8f0578e5bb23d6a863b4a2b5f309,5235,112796,TRUE,241ce57a5536ac7a2e16b60d7ea0556993c469d3,192,272,287,COMPLETED,TRUE,1,COMPLETED,TRUE,19
75,thedaviddias/Front-End-Checklist,TRUE,4afcfbedd777ddce89dfcad5a8183675206341a8,372,3196,FALSE,,,,19,COMPLETED,TRUE,0,COMPLETED,TRUE,0
76,gin-gonic/gin,TRUE,815122a0f4b95f12295921af7e04e0225eb9a6cc,883,4276,TRUE,a6117d27ae3e63c3badaff6305d2d9765901ed11,2,192,11,COMPLETED,TRUE,2,COMPLETED,TRUE,2
77,elastic/elasticsearch,TRUE,faae31cca6d38cf1c66117808f62c25c52a4525f,19753,1358608,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,FALSE,0
78,hakimel/reveal.js,TRUE,039972c730690af7a83a5cb832056a7cc8b565d7,1465,27172,TRUE,0a4c1af6a16c7a408a4e9afc82cebd0b040d7e76,666,556,7,COMPLETED,TRUE,10,COMPLETED,TRUE,27
79,apple/swift,TRUE,0c67ce64874d83b2d4f8d73b899ee58f2a75527f,57179,1127944,FALSE,,,,1,COMPLETED,TRUE,0,TIMEOUT,,
80,netdata/netdata,TRUE,b248cfa6cfb948fb14208328fe1aea6aac904c62,9101,171516,TRUE,6fc36932ddc922081c32d6f4aa718d2b95f39a2a,2172,1384,24,COMPLETED,TRUE,1,TIMEOUT,,
81,gohugoio/hugo,TRUE,15463f835bbadd6f86158b83cb1499721ae2269f,6849,153860,TRUE,5ffd65662e3d26cf278eda3e0b8cc4ec8c2d42e9,29,200,4,COMPLETED,TRUE,2,COMPLETED,TRUE,7
82,angular/angular.js,TRUE,47bf11ee94664367a26ed8c91b9b586d3dd420f5,8971,150936,TRUE,aa216313b173606e370bcd484f9f67385887762f,840,748,25,COMPLETED,TRUE,21,TIMEOUT,,
83,pallets/flask,TRUE,ab36542260c61f178b6e8f61312b706ac4c5f73e,1984,12432,TRUE,58afb5203845d5758ecb264b79811d64dd5d726a,97,260,0,COMPLETED,FALSE,4,COMPLETED,TRUE,9
84,reduxjs/redux,TRUE,d4d08d0438711ea7528fc3c5c11da00cd120a991,1943,57920,FALSE,,,,6,COMPLETED,TRUE,0,COMPLETED,TRUE,0
85,atom/atom,TRUE,cf5e379eb974c399457fda436d2aef7d39268d51,15560,359976,TRUE,152542dfb599e961a24017e754b0da48410b12b3,4,192,3,COMPLETED,TRUE,2,COMPLETED,TRUE,3
86,resume/resume.github.com,TRUE,f5990756495bfd6d86495733bfb238c96771cbbf,150,696,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,FALSE,0
87,kdn251/interviews,TRUE,a70c2250ec5f2e43972a359e050182f970ea2ffd,123,45644,FALSE,,,,20,COMPLETED,TRUE,0,COMPLETED,TRUE,0
88,expressjs/express,TRUE,2c47827053233e707536019a15499ccf5496dc9d,4326,11812,TRUE,8cbf91335e058f1ac12aa403078670979931c7a5,363,372,0,COMPLETED,FALSE,8,COMPLETED,FALSE,15
89,fatedier/frp,TRUE,c652b8ef070507344f2cdd7230af1c6c10f0ee4c,543,30720,TRUE,0d69dcd21ca5a0610d9fbc714e9d9230fddb884e,7,188,6,COMPLETED,TRUE,1,COMPLETED,TRUE,2
90,chartjs/Chart.js,TRUE,061686895997921508a24e205e0482a7747404d3,2537,56840,TRUE,15e523120ad65aacd7503af85c6fcf43565da4ba,18,264,6,COMPLETED,TRUE,9,COMPLETED,TRUE,9
91,pytorch/pytorch,TRUE,332e43ed1a353a8b0a1d8e0167daaaed1e8b7a34,41704,1149692,TRUE,d84dc739b1dd03dc906264bfa1082cd1f49f175f,779,3512,21,COMPLETED,TRUE,69,TIMEOUT,,
92,jquery/jquery,TRUE,2525cffc42934c0d5c7aa085bc45dd6a8282e840,5850,35480,TRUE,fe034f32bcbf07c125b8837144463cd0c8feaf6b,210,340,2,COMPLETED,TRUE,12,COMPLETED,TRUE,47
93,xingshaocheng/architect-awesome,TRUE,088b459ea3719093ec3d15ecf6547a3d97eae2b6,248,2708,FALSE,,,,5,COMPLETED,TRUE,0,COMPLETED,TRUE,0
94,ripienaar/free-for-dev,TRUE,a438ca89cc2e01d9db6593615f423d79ef28ad6c,1919,6012,TRUE,bf1b3b9f671f5aeacc3789a358cd2699723fa52d,3,188,1,COMPLETED,TRUE,1,COMPLETED,TRUE,2
95,socketio/socket.io,TRUE,18f3fdab12947a9fee3e9c37cfc1da97027d1473,1324,31124,TRUE,839f2a3403eba5c1e1899e95af896cf769cf67bd,447,520,0,COMPLETED,FALSE,27,TIMEOUT,,
96,adam-p/markdown-here,TRUE,1df5aee09cae90e2991db4e9cfb8c1b65a3c1898,499,30304,TRUE,7cbbd78fe93a3342f04fdd0e00a6a6ec5627a18e,226,1052,16,COMPLETED,TRUE,10,COMPLETED,TRUE,19
97,redis/redis,TRUE,4c72a09b78f6adcc3657b0d1b7ce64f2dd028c72,8110,141212,TRUE,3689eacc066af4b6ce4aa542cd2fa58ec02c8c72,28,204,1,COMPLETED,TRUE,3,COMPLETED,TRUE,6
98,keras-team/keras,TRUE,83852348f28bef46185d9b09295f5185f0fc80c7,4810,50040,TRUE,228ced9e3e5741802a0712d2ec302a860bea9fae,51,240,1,COMPLETED,TRUE,5,COMPLETED,TRUE,10
99,josephmisiti/awesome-machine-learning,TRUE,cccd6a01d0f8366d7beac2ab339d4f176c74f62b,828,2768,TRUE,2b4ad5abcab28b7c609016c8ece9b4e42820553d,3,192,13,COMPLETED,TRUE,2,COMPLETED,TRUE,2
100,shadowsocks/shadowsocks-windows,TRUE,8fafef7c5751809751d8eef361e3c39caef75261,1065,17936,TRUE,2e11e65f4fce10f9860ab704f65596558fc9ecb6,45,244,4,COMPLETED,TRUE,8,COMPLETED,TRUE,9
101,florinpop17/app-ideas,TRUE,b47cf8261f001edef30217ac6021665b515cda46,267,1456,FALSE,,,,3,COMPLETED,TRUE,0,COMPLETED,TRUE,0
102,neovim/neovim,TRUE,b2ed439bd5ab1b431bb61f8754554c48453495c5,8953,258396,TRUE,c4874f040a7c4e3fb9a436b69a547bf4ddd2a2de,2787,2028,11,COMPLETED,TRUE,33,TIMEOUT,,
103,mtdvio/every-programmer-should-know,TRUE,a8d7c35645999cb47eaee9d6ae747d3f57120f02,127,416,FALSE,,,,0,COMPLETED,TRUE,0,COMPLETED,TRUE,0
104,ansible/ansible,TRUE,cf9fd2d7daf0b12321cebcf96dd01d78f1ab9eae,44376,283608,TRUE,0a1fb27b75866b76c00dd98e52291c41cffcffe6,31,204,0,COMPLETED,FALSE,3,COMPLETED,TRUE,5
105,lodash/lodash,TRUE,2da024c3b4f9947a48517639de7560457cd4ec6c,7239,52948,TRUE,b5ba47b21ebf28d0908cb02900d8b03b31604f21,88,384,0,COMPLETED,TRUE,8,COMPLETED,TRUE,13
106,home-assistant/core,TRUE,a92105171cc69a5ada661a67a3abfaf8fa55b213,39694,539620,FALSE,,,,0,COMPLETED,FALSE,0,COMPLETED,TRUE,0
107,h5bp/Front-end-Developer-Interview-Questions,TRUE,a4cf275fce1fb946fe873cac7e0673aff172b7b3,496,5824,TRUE,f949c4f38fc26066e7162eab20897c54dedd1693,6,192,103,COMPLETED,TRUE,2,COMPLETED,TRUE,2
108,microsoft/Web-Dev-For-Beginners,TRUE,a2ecfcb7b138f12734b12798cc839545be389a2a,511,132824,FALSE,,,,9,COMPLETED,TRUE,0,COMPLETED,TRUE,0
109,gatsbyjs/gatsby,TRUE,e7136908e238d1bc6c3d66c306533c81394535ea,18596,1385812,FALSE,,,,9,COMPLETED,TRUE,0,COMPLETED,TRUE,0
110,chrislgarry/Apollo-11,TRUE,b222aaa8d027ab6d8b4a7fc82ac59e3ee725c4ef,400,7140,TRUE,039dccaf90ab7e03f58123bbff9c0dceade647c9,20,208,4,COMPLETED,TRUE,5,COMPLETED,TRUE,6
111,h5bp/html5-boilerplate,TRUE,5ce3cc8e5d7c090d8437f47fddf7fee2b0d0299d,1650,22612,TRUE,78d6e76cca7ca75fe57d7b9549c84139ea79a58c,1249,832,6,COMPLETED,TRUE,2,COMPLETED,TRUE,97
112,kelseyhightower/nocode,TRUE,6c073b08f7987018cbb2cb9a5747c84913b3608e,4,216,FALSE,,,,0,COMPLETED,TRUE,0,COMPLETED,TRUE,0
113,ElemeFE/element,TRUE,8ab1db83c537bf0b0d63bb6397ad3440811e892e,3097,97484,TRUE,a6498d63a751af118cc1d3e854c9ef03e7fa8ee9,484,616,12,COMPLETED,TRUE,41,COMPLETED,TRUE,107
114,Hack-with-Github/Awesome-Hacking,TRUE,eb2b355c05b81b7ca983c8d24d23f4d541ca0edc,85,412,FALSE,,,,2,COMPLETED,TRUE,0,COMPLETED,TRUE,0
115,apache/echarts,TRUE,f4e7864291aeba9abdc7192f5558dc7b3d8f8611,3239,299280,TRUE,8d00389b40bc286678195c90e2c25cb01a5f5672,115,288,7,COMPLETED,TRUE,3,COMPLETED,TRUE,25
116,rails/rails,TRUE,be400c3ca2b86111766d840979478fc026679368,38174,313324,TRUE,db4471ffb330b1cdc11dfedc88cb63e882d5c6df,72,236,0,COMPLETED,TRUE,4,TIMEOUT,,
117,scikit-learn/scikit-learn,TRUE,fd5ec3d4203ca7b4e9b7049ea10f938488ff3379,14013,174028,TRUE,d3d244203730be9432e006b4d0b16eaf96587ed3,1416,1296,0,COMPLETED,FALSE,41,TIMEOUT,,
118,Semantic-Org/Semantic-UI,TRUE,deb275d2d5fe9a522a0b7bd8b6b6a1c939552718,4412,131488,TRUE,deb650b61537ae2ccda9ce527d81d718806a08d0,125,264,5,COMPLETED,TRUE,7,COMPLETED,TRUE,11
119,jaywcjlove/awesome-mac,TRUE,a26fef6c0f325231a0b13ad856e05111688031c5,1435,8536,FALSE,,,,20,COMPLETED,TRUE,0,COMPLETED,TRUE,0
120,godotengine/godot,TRUE,ff9a66067b6d3b82c5d30f1715e585fefe0463c1,21749,1445508,TRUE,412f26d083ba089202cdf061db8d747bdd4ad058,823,35972,6,COMPLETED,TRUE,474,TIMEOUT,,
121,grafana/grafana,TRUE,244650835e82e7e7a8c13ca6d71c131cb0d727cc,21078,748960,TRUE,027b00ab5e00e9305cb44d5aff470b89545cc848,86,236,4,COMPLETED,TRUE,4,TIMEOUT,,
122,enaqx/awesome-react,TRUE,e1598355621249d232f5ea155f1642a40fea3b56,1296,2832,FALSE,,,,2,COMPLETED,TRUE,0,COMPLETED,TRUE,0
123,azl397985856/leetcode,TRUE,714cdd0e016203ea171d805659091c96e3936bb1,1076,223768,FALSE,,,,18,COMPLETED,TRUE,0,COMPLETED,TRUE,0
124,scutan90/DeepLearning-500-questions,TRUE,6087a06b112c3c28b885ab2f794535c19a9e4326,672,403676,FALSE,,,,0,COMPLETED,TRUE,0,COMPLETED,TRUE,0
125,spring-projects/spring-framework,TRUE,365481379d8e331214118a9dc930fb5f201ef8cc,20611,277532,TRUE,fdb2226d8063d10074d01332b1177a12bbb4bff1,810,1620,4,COMPLETED,TRUE,25,TIMEOUT,,
126,necolas/normalize.css,TRUE,fc091cce1534909334c1911709a39c22d406977b,321,676,TRUE,bc70d2c79fa7292b9abe7d994902b5c3fa0a4c38,45,228,5,COMPLETED,TRUE,2,COMPLETED,TRUE,4
127,nestjs/nest,TRUE,83098e2d4c3af94be551a6b66f6e666f567103b4,3634,282312,TRUE,5a7a3d8103cc18c28854ebb2de4a19a68afcc1fa,13,188,0,COMPLETED,FALSE,0,COMPLETED,FALSE,2
128,ionic-team/ionic-framework,TRUE,897bd4a8d071928db5674225dad94951fac0444f,9430,534032,TRUE,0f7061b94d509bbe913a3e6b443f0a4fd67dbbb4,31,252,5,COMPLETED,TRUE,8,COMPLETED,TRUE,8
