code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,doc_link,source_link
API,repo,README.md,-,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/source/jquery.parallax.js#L494
CSS,repo,README.md,-,-,-,7,7,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/examples/pages/interactive.html#L35
DOM,repo,README.md,-,30,30,30,30,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/source/parallax.js#L40
JavaScript,repo,README.md,-,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/examples/scripts/zepto.js#L9
MIT,repo,README.md,-,7,5,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/package.json#L5
Parallax(scene),repo,README.md,-,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/examples/pages/simple.html#L36
"calibrate(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L386
calibrate-x,repo,README.md,-,-,-,-,-,-,-,3,3,3,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L161
calibrate-y,repo,README.md,-,-,-,-,-,-,-,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L162
calibrateX,repo,README.md,-,-,-,-,-,-,-,18,18,18,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L137
calibrateY,repo,README.md,-,-,-,-,-,-,-,18,18,18,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L138
calibrationDelay,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L135
children,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L288
clipRelativeInput,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L131
constructor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/3c2e27e0476eed620f37f0e632f54c989bea99e4/src/parallax.js#L151
data-depth,repo,README.md,-,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,48,48,48,48,48,48,48,48,48,33,33,39,39,39,39,39,39,39,39,39,39,39,39,39,45,45,45,51,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/examples/pages/simple.html#L21
data-input-element,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/examples/pages/input_element.html#L20
deploy,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,10,12,12,12,12,12,12,12,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/7462fb7e1c57ce25d12cff7bed6fcec07d78aa44/package.json#L6
depth,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,42,42,42,42,42,42,42,42,42,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L310
destroy(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L572
deviceorientation,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L350
disable(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,14,14,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,11,11,11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L368
dist,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/package.json#L6
element,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,307,307,287,285,285,285,285,291,294,294,294,294,294,294,294,294,294,294,294,294,298,304,304,304,304,307,307,307,307,53,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/3c2e27e0476eed620f37f0e632f54c989bea99e4/yarn.lock#L773
enable(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,18,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L274
examples/pages/interactive.html,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,code_element is a file name
false,repo,README.md,-,-,-,132,132,160,160,172,172,172,200,200,200,200,200,200,200,200,199,199,199,203,203,203,195,195,195,195,195,195,195,195,195,195,195,195,196,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,208,208,208,210,210,211,212,210,210,210,210,18,18,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L29
"friction(x, y)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/src/parallax.js#L396
friction-x,repo,README.md,-,-,-,-,-,-,-,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/wagerfield/parallax/blob/71a804ed89d600896deef5cdb8177e4ceaf78efa/README.md,https://github.com/wagerfield/parallax/blob/de589b33da13667d1aa13f9571b8c4492b50b5d9/src/parallax.js#L169
