code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,doc_link,source_link
closeModal,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,35,35,35,35,35,35,35,35,37,42,42,42,42,42,42,42,42,42,44,46,46,46,46,46,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,67,67,67,67,67,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/typings/modules/state.d.ts#L10
closeOnConfirm,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,16,19,17,17,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/lib/modules/handle-click.js#L104
confirmButtonColor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,24,24,24,24,24,24,24,24,24,36,36,36,36,36,36,51,66,54,54,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,42,42,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/lib/modules/set-params.js#L184
confirmButtonText,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,28,35,35,35,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,35,35,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/lib/sweetalert.js#L107
confirmLoadingButtonColor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,6,6,6,6,6,6,6,6,6,6,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/lib/modules/set-params.js#L189
dangerMode,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,23,22,22,23,23,23,23,23,23,23,23,23,23,23,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,34,34,34,34,34,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/typings/modules/options/index.d.ts#L12
disableButtonsOnConfirm,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/8517ffd46eefe4aabb02489541bca78b3a9d65ec/index.html#L203
dist/sweetalert-dev.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L14
docs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,67,78,78,78,93,109,109,109,109,109,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,127,127,127,127,127,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/src/polyfills.js#L17
docs-src,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/package.json#L11
function(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,36,41,40,40,44,47,47,47,47,47,47,45,46,46,46,47,50,48,48,48,53,54,54,64,45,54,54,54,54,54,54,54,54,54,55,55,55,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/test/tests.js#L2
function(inputValue),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L541
gulp,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37,37,43,43,43,43,43,43,43,44,44,44,44,51,51,51,51,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/package.json#L10
lib/sweet-alert.css,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/4927cdee63607354ca5094c39d99286c2e19dec5/bower.json#L8
setTimeout(function(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/test/tests.js#L18
showCancelButton,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,23,28,26,26,20,20,20,22,24,24,24,24,24,24,24,24,24,24,24,28,28,28,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/test/tests.js#L58
src,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,53,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,86,86,86,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/webpack.config.js#L29
"swal(""Hello world!"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/test/index.test.ts#L25
"swal(""Oops..."", ""Something went wrong!"", ""error"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L455
swal('Ajax request finished!'),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/index.html#L573
swal(`You typed: ${value}`),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/docs-src/guides/index.md#L254
sweetAlert,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,25,24,22,22,24,24,24,24,24,23,23,23,23,23,23,24,53,53,53,40,47,47,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/02dbffd9e67f37a509edc403b30b7eac8c68a92e/index.html#L28
sweetalert.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/3b9d8eb90268e0b1f8f58b2eba240631df0ad18f/package.json#L5
then((value),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/docs-src/guides/index.md#L96
willDelete,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/t4t5/sweetalert/blob/18d01aff204f383ee03b28fc3fd330fae3fd90c7/README.md,https://github.com/t4t5/sweetalert/blob/d927c9bbc66bd26380dc360a71e1876d284a7faf/docs/guides/index.html#L125
