code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,doc_link,source_link
CORN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,26,26,26,26,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/ordinal/niu2016_cement.ipynb#L34
CSV,repo,README.md,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,20,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,23,23,23,23,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_lstm_packed_own_csv_imdb.ipynb#L29
DCGAN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/gan/dcgan-celeba.ipynb#L53
DataParallel,repo,README.md,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/cnn/cnn-vgg16-celeba-data-parallel.ipynb#L75
DenseNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/cnn/cnn-densenet121-mnist.ipynb#L68
GAN,repo,README.md,-,-,-,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/gan/gan.ipynb#L46
GRU,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_gru_packed_imdb.ipynb#L19
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,99,99,99,101,103,104,104,105,106,106,108,109,109,112,114,115,116,116,116,119,119,120,121,122,123,123,121,121,122,122,123,123,123,123,123,124,124,127,128,128,129,129,129,129,129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/bb5c0667f133a5e5c23475fadc61786d52888e8f/tensorflow1_ipynb/mlp/mlp-lowlevel.ipynb#L9
GloVe,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_lstm_packed_imdb-glove.ipynb#L19
IMDB,repo,README.md,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_simple_packed_imdb.ipynb#L121
ImageNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/transfer/transferlearning-vgg16-cifar10-1.ipynb#L16
LSTM,repo,README.md,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_lstm_packed_own_csv_imdb.ipynb#L19
LeNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,23,23,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/cnn/cnn-lenet5-quickdraw.ipynb#L68
MLP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,11,11,24,40,40,40,40,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/templates/pytorch_lightning/tune_classification_basic.py#L51
MNIST,repo,README.md,-,-,130,130,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,145,145,154,154,154,154,154,154,154,154,160,160,163,173,173,173,173,173,179,192,198,198,199,215,215,220,227,227,227,227,227,227,227,227,227,227,227,227,227,230,230,230,230,230,230,230,230,230,230,230,230,230,233,237,237,241,246,251,256,256,256,262,268,280,268,268,276,282,282,295,295,295,293,293,293,295,295,295,295,295,295,295,295,295,295,295,295,375,375,375,375,375,355,356,356,359,359,359,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mechanics/tfrecords.ipynb#L86
MobileNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,19,19,20,21,22,22,22,23,23,23,17,17,17,17,17,17,17,17,17,17,17,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/cnn/cnn-mobilenet-v3-small-cifar10.ipynb#L43
NPZ,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mechanics/tfrecords.ipynb#L47
NumPy,repo,README.md,-,-,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mechanics/tfrecords.ipynb#L47
PNG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mechanics/tfrecords.ipynb#L179
PyTorch,repo,README.md,-,-,36,36,36,36,36,118,118,118,118,118,118,118,118,120,120,120,120,121,122,122,125,125,132,133,133,133,134,136,136,140,142,142,142,142,146,148,150,151,151,152,153,153,155,157,157,160,162,163,166,166,166,169,169,170,171,172,173,173,171,171,177,177,182,185,185,185,185,187,187,190,195,195,200,213,226,237,237,237,249,261,261,272,272,294,305,305,331,331,331,331,331,331,344,376,408,408,424,440,456,457,457,473,473,475,556,556,556,556,556,544,542,574,581,581,581,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/tensorflow1_ipynb/mlp/mlp-lowlevel.ipynb#L7
QuickDraw,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/cnn/cnn-resnet34-quickdraw.ipynb#L68
RNN,repo,README.md,-,-,35,35,35,35,35,35,35,35,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,49,49,49,49,49,49,49,49,49,49,49,49,49,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/rnn/rnn_simple_packed_imdb.ipynb#L19
ResNet,repo,README.md,-,-,100,100,100,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,133,133,133,133,132,132,132,132,132,132,132,132,132,132,132,132,132,132,139,139,139,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,130,130,130,130,130,https://github.com/rasbt/deeplearning-models/blob/820dbe0bd8e4a2761756ce555de97c007b74cce5/README.md,https://github.com/rasbt/deeplearning-models/blob/73f994c31528b81ea24210e1c5b90a1f273b2f13/pytorch_ipynb/mechanics/gradient-checkpointing-nin.ipynb#L106
