code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
JPEGImages/Full-Resolution,repo,README.md,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/render_syn.py#L121
LASR,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/nnutils/train_utils.py#L93
PerceptualSimilarity,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/PerceptualSimilarity/README.md#L2
ThibaultGROUEIX,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/chamfer3D/LICENSE#L3
VCN,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/ext_nnutils/submodule.py#L24
auto_gen,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/preprocess/auto_gen.sh#L23
configs,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/render_vis.py#L112
database,repo,README.md,24,24,24,24,24,24,24,22,22,22,22,22,22,22,22,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/ext_utils/badja_data.py#L28
dev,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/template.sh#L15
lasr_vcn,repo,README.md,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/preprocess/auto_gen.sh#L23
ngpu,repo,README.md,46,46,46,46,46,46,46,46,46,46,46,53,53,53,53,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/template.sh#L16
render_vis,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/scripts/render_result.sh#L22
scripts/template.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,code_element is a file name
third_party,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/third_party/ext_nnutils/train_utils.py#L36
vcn_rob,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/README.md,https://github.com/google/lasr/blob/29d8759354f853119276f41504d6b527fd5484e5/preprocess/auto_gen.sh#L23
