code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
.moslqo(),repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,18,18,18,18,18,18,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L56
.ok(),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/tflite_quality_mapper_test.cc#L23
.similarity(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/sim_results_writer.h#L150
.value(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/gammatone_spectrogram_builder_test.cc#L64
16kHz,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L254
48kHz,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/short_duration_test.cc#L96
8kHz,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/commandline_parser.cc#L69
API,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L65
BUILD,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/WORKSPACE#L31
C:,repo,README.md,2,2,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/b784edf63385c4f84862260ed18b323c237a8ec2/WORKSPACE#L96
CSV,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/sim_results_writer.h#L41
FAQ,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/libsvm_target_observation_convertor.cc#L48
FVNSIM,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,26,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L114
IEEE,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/testdata/conformance_testdata_subset/README#L5
JSON,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/sim_results_writer.h#L37
LICENSE,repo,README.md,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,107,107,107,107,107,107,107,107,107,107,107,113,113,113,113,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/xcorr_test.cc#L7
LQO,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L235
MOS,repo,README.md,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,57,57,57,57,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L235
NSIM,repo,README.md,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,49,49,49,49,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/misc_math_test.cc#L34
PFFFT,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/fft_manager.h#L40
SVM,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol.cc#L246
SVR,repo,README.md,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L48
SimilarityResultMsg,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,26,26,26,26,26,23,23,26,26,26,26,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L145
SimilarityResultMsg_PatchSimilarityMsg,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L204
StatusOr,repo,README.md,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/comparison_patches_selector_test.cc#L45
VNSIM,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/visqol.h#L161
ViSQOL,repo,README.md,65,65,65,65,65,65,65,65,65,65,65,65,65,67,67,69,69,69,69,69,69,69,69,69,68,68,75,75,75,75,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_test.cc#L24
ViSQOLAudio,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/testdata/conformance_testdata_subset/README#L5
VisqolApi,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L67
VisqolConfig,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L77
WAV,repo,README.md,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/wav_reader.cc#L65
WORKSPACE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/WORKSPACE#L83
all_unit_tests,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/51da25532a6865737a8304e79b765666061b2740/BUILD#L111
batch_input_csv,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/test_utility.h#L41
center_freq_bands(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L148
config.mutable_audio,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L78
config.mutable_options,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L79
deg_patch_end_time,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L210
deg_patch_end_time(),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L300
deg_patch_start_time,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/comparison_patches_selector_test.cc#L144
deg_patch_start_time(),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L298
degraded_file,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,18,18,18,18,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/test_utility.h#L29
freq_band_means(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L171
git,repo,README.md,-,-,-,-,-,1,1,1,4,6,6,6,7,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/WORKSPACE#L5
"main(int argc, char **argv)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/51da25532a6865737a8304e79b765666061b2740/src/main.cc#L23
make_svm_train_file,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/scripts/BUILD#L73
output_debug,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/commandline_parser.cc#L54
output_fvnsim,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/sim_results_writer.h#L209
output_moslqo,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/include/sim_results_writer.h#L203
patch_sims,repo,README.md,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L286
patch_sims(),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L168
ref_patch_end_time,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L208
ref_patch_end_time(),repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L293
ref_patch_start_time,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L207
ref_patch_start_time(),repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L290
reference_file,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,18,18,18,18,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/test_utility.h#L29
results_csv,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/commandline_parser.cc#L45
set_use_speech_scoring(false),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L212
set_use_unscaled_speech_mos_mapping(false),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_api_test.cc#L245
sim_results_writer,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/main.cc#L19
similarity_result,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,26,26,29,29,29,29,30,30,30,30,30,30,30,33,33,33,33,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L21
similarity_to_quality_model,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,15,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/test_utility.h#L35
status.ToString(),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/src/visqol_manager.cc#L69
status.ok(),repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,24,24,25,25,25,25,25,24,24,25,25,25,25,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/README.md,https://github.com/google/visqol/blob/c3f9d932ccf838ee2955fff422cf2abd5ec2de6f/tests/visqol_manager_test.cc#L51
