code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,doc_link,source_link
UAC,repo,README.md,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/e01eecc2e3d9c339e7a4b269cae0e1260429fe83/src/plugins/pipeline_plugins/utils/errors.py#L35
bq_to_ads_cm,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/3fdccb1ffcdfb676bfe91fe06115693569d1a80b/src/dags/bq_to_ads_cm_dag_v2.py#L65
bq_to_ads_oc,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/3fdccb1ffcdfb676bfe91fe06115693569d1a80b/src/dags/bq_to_ads_oc_dag_v2.py#L60
bq_to_ads_uac,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/bq_to_ads_uac_dag.py#L68
bq_to_cm,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/bq_to_cm_dag.py#L69
bq_to_ga,repo,README.md,-,-,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/test/system/retry_system_test.py#L48
bq_to_ga4,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/bq_to_ga4_dag.py#L72
cc4d_bq_to_ga,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/b4c5caf3ca488c486bffcccb18466fb9f8029f43/src/test/utils/system_testing_utils_test.py#L89
cc4d_gcs_to_ga,repo,README.md,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/b4c5caf3ca488c486bffcccb18466fb9f8029f43/src/dags/gcs_to_ga_dag.py#L42
gcs_to_ads_cm,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/3fdccb1ffcdfb676bfe91fe06115693569d1a80b/src/dags/gcs_to_ads_cm_dag_v2.py#L63
gcs_to_ads_oc,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/3fdccb1ffcdfb676bfe91fe06115693569d1a80b/src/dags/gcs_to_ads_oc_dag_v2.py#L58
gcs_to_ads_uac,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/gcs_to_ads_uac_dag.py#L72
gcs_to_cm,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/gcs_to_cm_dag.py#L70
gcs_to_ga,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/d9b3d44c5f77fdc03e69868c519f3d385bedc447/src/dags/gcs_to_ga_dag.py#L72
tcrm_bq_to_ga,repo,README.md,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/e01eecc2e3d9c339e7a4b269cae0e1260429fe83/src/test/utils/system_testing_utils_test.py#L89
tcrm_gcs_to_ga,repo,README.md,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/TaglessCRM/blob/b2a9a7ca79c1bc3393b8fbf7d272f0a3bc4d3795/README.md,https://github.com/google/TaglessCRM/blob/e01eecc2e3d9c339e7a4b269cae0e1260429fe83/src/dags/gcs_to_ga_dag.py#L42
