code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,doc_link,source_link
-rm,repo,README.md,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L516
-seq,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/d68ad9e50210ad7f2f69e7a413814106f7a42d2e/src/main.py#L514
API,repo,README.md,-,-,-,-,-,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/gads_connector.py#L23
AdsToRemove,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L58
AllAccounts,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L57
BQ,repo,README.md,-,-,-,-,-,0,0,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L71
FAILED_TO_REMOVE,repo,README.md,-,-,-,-,-,-,-,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L281
GOOGLE_APPLICATION_CREDENTIALS,repo,README.md,-,-,-,-,-,-,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/b89ed940605453f6e1c50f7071e2e0b493217692/src/app.yaml#L4
ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L487
LICENSE,repo,README.md,-,-,-,-,-,-,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/sql/Report.sql#L7
LLC,repo,README.md,-,-,-,-,-,1,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/sql/Report.sql#L1
MCC,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L30
PerAccountSummary,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L59
PerAccountSummaryTable,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,code_element is a file name
PerMccSummary,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L60
REMOVED,repo,README.md,-,-,-,-,-,-,-,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L288
SCANNED,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L240
account_id,repo,README.md,-,-,-,-,-,31,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/sql/Report.sql#L38
ad_group_ad,repo,README.md,-,-,-,-,-,-,-,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L184
ad_group_id,repo,README.md,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L80
ad_id,repo,README.md,-,-,-,-,-,-,-,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L78
ad_type,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L79
ads_to_remove_count,repo,README.md,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L97
bowling_status,repo,README.md,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/b643b6f38ccc54fd23563361c8303e2a90bf3f79/src/main.py#L89
campaign_id,repo,README.md,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L81
client_id,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/secret_keys/gcp_service_account_key.json#L7
excluded_topics_substrings,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/81fa3d541b28e28adf20459c87b072acf616b5cc/src/main.py#L62
final_urls,repo,README.md,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L83
google-ads.yaml,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/gads_connector.py#L18
google_3_strikes,repo,README.md,-,-,-,-,-,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/085ae248a4a492f27131638e5187b9c6d97c44ce/src/sql/Report.sql#L39
mandatory_data,repo,README.md,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L86
non_critical_topics,repo,README.md,-,-,-,-,-,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/81fa3d541b28e28adf20459c87b072acf616b5cc/src/main.py#L32
policy_topics,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L84
removal_error,repo,README.md,-,-,-,-,-,-,-,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L93
secret_keys,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/gads_connector.py#L18
session_id,repo,README.md,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/sql/Report.sql#L42
top_mcc_total_ads_to_remove,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L106
topics_substrings,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L62
total_sub_accounts,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/disapproved-ads-auditor/blob/a76deb94b06bfdba22887e3ecde7d878701648e5/README.md,https://github.com/google/disapproved-ads-auditor/blob/9a1ae4f21354b65a7c5ae1b975b55ff85b3345ca/src/main.py#L104
