code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,doc_link,source_link
PyPI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/demo/static/index.html#L65
README,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/setup.cfg#L5
STR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/javascript/src/cli.ts#L30
TEXT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/javascript/src/parser.ts#L33
THRES,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/javascript/src/cli.ts#L30
TXT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/javascript/src/cli.ts#L30
budoux,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,86,86,86,88,88,88,88,88,91,93,102,102,102,102,106,106,108,108,108,108,108,108,108,109,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/tests/test_parser.py#L27
budoux.Parser(model),repo,README.md,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/budoux/main.py#L175
build_model.py,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/train.py#L262
demo,repo,README.md,4,4,4,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/8d654c36ac62d0cf1602a9f1a7a1f19cb50a2b4f/demo/package.json#L2
encode_data,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/tests/test_encode_data.py#L26
encoded_data,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/encode_data.py#L64
json.load(f),repo,README.md,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/budoux/parser.py#L28
requirements_dev,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/39bf07bd56c254d4850b9a23be0ee5b991c24519/.github/workflows/style-check.yml#L14
train.py,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/budoux/blob/283bb5b8ca4e38b3c8b60befb8e602b5bb9eb704/README.md,https://github.com/google/budoux/blob/7812232f3610f06a21fb031d84a746076838d7ae/scripts/build_model.py#L17
