code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
cuckoo_index,repo,README.md,10,10,10,10,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,23,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L68
cuckoo_kicker,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,16,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/cuckoo_kicker_test.cc#L19
data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,231,232,232,243,243,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/zone_map_test.cc#L26
dynamic_mode,repo,README.md,-,-,-,-,-,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L23
fingerprint_store,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,26,26,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store_test.cc#L19
index_structure,repo,README.md,18,18,18,20,22,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,37,37,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/zone_map.h#L32
input_csv_path,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L24
input_file_path,repo,README.md,2,2,2,2,2,5,5,8,8,8,8,8,8,8,8,8,8,8,8,6,6,4,4,1,1,1,1,1,1,1,-,-,-,-,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/f233298c46b0c542bd73928820d1784a04bb97a1/lookup_benchmark.cc#L24
lookup_benchmark,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/lookup_benchmark.cc#L16
output_csv_path,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/evaluate.cc#L46
positive_distinct,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/evaluator.cc#L71
positive_uniform,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/evaluator.cc#L68
positive_zipf,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/evaluator.cc#L74
rle_bitmap,repo,README.md,25,25,25,25,25,25,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/fingerprint_store.cc#L25
test_cases,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/cuckoo-index/blob/03ea9935a3b80ddfea461cfeb79bed2108d2cf49/README.md,https://github.com/google/cuckoo-index/blob/cae12a1260352c7937855381295335927fb9a846/evaluator.h#L34
