code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
initial_setup,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/deploy.sh#L34
job_folder,repo,README.md,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/backend/gcsApiService.js#L183
lexicon_path,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L110
my_voice,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L41
phonology_path,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L114
sample_rate,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L99
tts_engine,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L100
voice_name,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/public/components/jobs/job-detail-view.ng#L12
wavs_info_path,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L122
wavs_path,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/voice-builder/blob/98d44a5ab84a63bc31640c12fef313064564c717/README.md,https://github.com/google/voice-builder/blob/90a8817575a9ca1efc85d0596d7f152daf0b2728/ui/src/app/components/create-voice/create-voice-controller.js#L118
