code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
LED,repo,README.md,-,-,-,-,-,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_blink_internal.sh#L11
OnReset,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/3ab659c88fe35d946d0e558e3ef2fa3a4b502716/examples/conv_benchmark/conv_benchmark_main.c~#L212
OnReset(),repo,README.md,-,-,-,-,-,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/ac1d996b725173686c96064fb0928ea9ed320e76/source/startup.c#L24
OpenOCD,repo,README.md,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L11
RAM,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/stm32_linker_layout.lds#L25
SRAM,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/stm32_linker_layout.lds#L18
STM32,repo,README.md,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L39
SWD,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L2
SoCs,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/led.h#L24
boot.s,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/source/timers.c#L20
cleared_config,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/led.h#L35
core_cm3.h,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/core_stm32.h#L27
core_stm32.h,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/source/startup.c#L13
debug_log,repo,README.md,-,-,-,-,-,4,5,5,5,6,6,6,6,6,8,8,8,10,10,10,10,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,13,12,12,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/source/timers.c#L15
hello_world,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_hello_world.resc#L10
interrupt_vector,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/stm32_linker_layout.lds#L39
jcr:content,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/stm32_specifics.h#L24
main(),repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/source/startup.c#L27
old_config,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/led.h#L34
openocd,repo,README.md,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L3
pwd,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,2,2,2,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_hello_world.sh#L5
reference_manual,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/include/stm32_specifics.h#L24
renode/test_blink.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,code_element is a file name
renode/test_hello_world.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,code_element is a file name
renode_bluepill,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,4,4,4,4,4,4,4,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_hello_world.sh#L3
reset,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,5,7,7,7,7,9,9,9,9,9,9,9,9,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/source/startup.c#L121
reset_config,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L42
test_blink,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/7542fe2af813f17c17a09ac47acf9728fc1c1038/renode/test_blink_internal.sh#L7
test_blink_internal,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/5f755ab493185683d6dc94b713ec4defc8fb8710/renode/test_blink.sh#L5
test_hello_world,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_hello_world_internal.sh#L7
test_hello_world.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,code_element is a file name
test_hello_world_internal,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/renode/test_hello_world.sh#L5
write_image,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/stm32_bare_lib/blob/4ade7cee82a39bfc28d5e122d6e930d746381f20/README.md,https://github.com/google/stm32_bare_lib/blob/aaabdeb0d6098322a0874b29f6ed547a39b3929f/openocd.cfg#L19
