code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,doc_link,source_link
TrustedResourceUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,46,46,46,46,46,46,46,46,75,74,75,74,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/testing_conversions.ts#L18
TrustedScript,repo,README.md,38,38,38,44,44,44,44,44,44,44,44,44,44,48,48,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,53,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,17,17,17,17,17,17,17,17,17,17,17,17,12,17,12,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L22
TrustedScriptURL,repo,README.md,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,54,54,54,54,54,54,57,57,57,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,16,16,16,16,16,16,16,16,16,16,16,16,11,16,11,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L30
TypeScript,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,0,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/0424ff1723f4006239c079a3a1cdad3fcdb1c47c/src/internals/script_impl.ts#L87
URL,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,11,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,14,24,24,24,24,24,24,24,24,24,24,25,25,25,25,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/builders/resource_url_builders_test.ts#L149
encodeURIComponent,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/builders/resource_url_builders_test.ts#L129
eval,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/dom/globals/global_test.ts#L11
htmlEscape,repo,README.md,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,37,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37,37,37,39,42,42,42,42,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L6
innerHTML,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/dom/elements/element_test.ts#L17
javascript:alert,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/builders/url_builders_test.ts#L64
legacyConversionToScriptUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/5212418df8062217f0b5df5ff1b583f7096c46c3/src/restricted/legacy.ts#L217
legacyConversionToTrustedScriptURL,repo,README.md,-,-,-,1,1,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/68758ef60b06249dea5140254c5d59991539244f/src/unsafe/legacy.ts#L94
legacyUnsafeResourceUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/src/restricted/legacy.ts#L96
safeScript,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,27,27,27,27,27,27,27,30,30,30,30,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L8
scriptFromStringKnownToSatisfyTypeContract,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/1d0cbe33eead456c5c51ccc661a680ff42bcf585/src/restricted/reviewed.ts#L53
scriptSafeByReview,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/src/restricted/reviewed.ts#L74
scriptUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,42,41,41,41,41,41,41,41,54,54,54,54,54,54,54,54,54,54,54,56,56,56,56,56,56,59,59,59,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/5c638526a0b1ecbd9c5b807b88ee8be67684af9b/test/internals/trusted_types_test.ts#L7
string,repo,README.md,90,90,90,115,115,115,115,115,115,115,115,115,115,122,122,133,133,140,140,140,140,140,140,140,140,140,140,141,141,141,141,141,141,141,141,141,142,142,142,142,142,142,142,142,142,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,127,124,126,129,136,137,143,145,145,145,145,145,145,145,145,145,145,145,145,207,207,234,235,235,238,224,224,224,224,245,240,245,240,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/testvectors/url_test_vectors.ts#L9
trustedResourceUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,56,56,56,56,56,56,56,56,67,67,67,67,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L7
trustedScript,repo,README.md,20,20,20,20,20,20,20,20,20,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/68758ef60b06249dea5140254c5d59991539244f/test/implementation/trusted_types_test.ts#L19
trustedScriptFromStringKnownToSatisfyTypeContract,repo,README.md,-,-,-,1,1,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/68758ef60b06249dea5140254c5d59991539244f/src/unsafe/reviewed.ts#L70
trustedScriptURL,repo,README.md,44,44,44,44,44,44,44,44,44,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/38539565db7ddb8d20f99113bac8f5b1bf397bd7/src/implementation/script_url_impl.ts#L43
unknown,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,39,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/restricted/reviewed_test.ts#L11
unwrapResourceUrl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,30,21,30,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L10
unwrapScript,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,19,11,19,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/test/internals/trusted_types_test.ts#L11
unwrapScriptUrlForSink,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safevalues/blob/77c0926a633ea01abe39e7f76a14413b93cdf663/README.md,https://github.com/google/safevalues/blob/df02da9b21236101a6deead447312f6f0ae0412d/test/internals/trusted_types_test.ts#L10
