code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,doc_link,source_link
ImageOptions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L30
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L127
Promise<RegistryClient>,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/index.ts#L49
Promise<TagResult>,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L48
RegistryClient,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/registry.ts#L4
Secret,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L134
TODO,repo,README.md,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/905dc3dd8dacca55dc5c86313a3974db89f8f347/test/packer.ts#L300
TagResult,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/src/registry.ts#L62
Username,repo,README.md,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/credentials-helper.ts#L35
WorkingDir,repo,README.md,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/nodejs-container-image-builder/blob/70f6e3bbe7d701fee69215e8553d87bbb622295a/README.md,https://github.com/google/nodejs-container-image-builder/blob/bafaf93e172cdd41e3e84d7bbbb134053c2a8cfc/test/test.ts#L113
