code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
add_plugins(DefaultPlugins),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,2,2,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L31
add_startup_system(setup.system(),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L33
array_format,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L102
asset_server,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L38
bevy_skybox_cubemap,repo,README.md,6,9,9,9,9,9,9,9,9,9,16,16,16,16,16,16,16,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L28
build(),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L30
commands.spawn_bundle,repo,README.md,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L48
expected_net,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L79
"load(""labeled_skybox.png"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L43
main,repo,README.md,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/skybox.vert#L30
make_array(skybox_texture.clone(),repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L46
shifted_net,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L113
skybox_conversion,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L40
skybox_texture,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/bevy_skybox_cubemap/blob/19c683639939b3d43a13c229ae6b9d2907720cd9/README.md,https://github.com/google/bevy_skybox_cubemap/blob/fd48c1be64144b6c16bdf995b4328d8fc0577f2e/src/lib.rs#L43
