code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
ParametricCrc,repo,README.md,14,14,14,15,15,15,15,15,15,16,17,90,90,90,90,90,87,87,87,87,90,90,90,90,90,90,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L79
String.fromCharCodes(tmp),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L202
TODO,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/src/model.dart#L88
UMTS,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/crclib.dart#L31
bitPosition,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L198
codeUnits,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,304,304,305,305,305,305,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L213
convert,repo,README.md,5,5,5,5,5,6,6,7,7,7,10,136,136,135,135,135,136,136,136,136,219,219,220,220,220,220,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L185
convert(UTF8.encode('123456789'),repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/cf3cd739969949f06fb122efce5eda7f3e5791be/lib/crclib.dart#L20
convert(utf8.encode('123456789'),repo,README.md,-,-,-,-,-,0,0,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/crclib_test.dart#L130
flIPpiNG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
flipWithData,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,6,6,6,6,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L47
flipWithValue,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/src/flipper.dart#L262
forEach((bitPosition),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L197
hOT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
inputMessage,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L178
inputReflected,repo,README.md,7,7,7,7,7,7,7,7,7,8,9,82,82,82,82,82,84,84,84,84,84,84,84,84,84,84,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L86
mAKInG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
mAmA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
map((e),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L189
"of(inputMessage.codeUnits, growable: false)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L196
outputMessage,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L202
outputReflected,repo,README.md,7,7,7,7,7,7,7,7,7,8,9,82,82,82,82,82,84,84,84,84,84,84,84,84,84,84,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/tool/gen_catalog.dart#L87
paNcAKEs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
transform(Crc32Xz(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/lib/crclib.dart#L24
transform(Crc32Zlib(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/0bbb3a680aecac1b3b76ebc5446d0deb360355f8/lib/crclib.dart#L24
transform(new Crc32Zlib(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/b56fbd7a7ddb6a875fcb6da76c7d3d8b32dcf366/lib/crclib.dart#L24
uPpERcaseS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L205
where((e),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/crclib.dart/blob/3c6b557f5646ce4a4ed99354ae3eb4d8c8497edc/README.md,https://github.com/google/crclib.dart/blob/e7cd5c36105a9cd77126957de03402fe8eb86603/test/flipper_test.dart#L188
