code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,doc_link,source_link
GoogleTest,repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/CMakeLists.txt#L37
InkStrokeModeler::params,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/prediction/CMakeLists.txt#L23
InkStrokeModeler::stroke_modeler,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/CMakeLists.txt#L96
InkStrokeModeler::types,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/prediction/CMakeLists.txt#L24
Input,repo,README.md,.,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,96,96,96,96,101,101,101,101,101,101,103,92,92,92,92,100,100,100,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L200
Input.time,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types.cc#L27
KalmanPredictor,repo,README.md,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L94
KalmanPredictor::ConstructCubicConnector,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/prediction/kalman_predictor.cc#L139
KalmanPredictorParams,repo,README.md,.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L93
KalmanPredictorParams::ConfidenceParams,repo,README.md,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params.cc#L111
M_PI,repo,README.md,.,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/utils_test.cc#L60
MathJax,repo,README.md,.,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/_includes/head-custom.html#L2
NOTE,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/position_modeler.h#L60
ON,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/CMakeLists.txt#L21
Predict,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.h#L79
Reset,repo,README.md,.,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,48,48,48,48,48,48,52,52,52,52,52,52,52,52,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L78
Reset(),repo,README.md,.,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L1458
Result,repo,README.md,.,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,39,39,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types.h#L156
SamplingParams,repo,README.md,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L59
StatusOr,repo,README.md,.,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L90
StrokeEndPredictor,repo,README.md,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L98
StrokeEndPredictorParams,repo,README.md,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L97
StrokeEndPredictorParams(),repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L51
StrokeModelParams,repo,README.md,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L42
StrokeModeler,repo,README.md,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,22,22,22,22,22,22,22,22,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L77
StrokeModeler::Predict(),repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L150
StrokeModeler::Reset(),repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L110
StylusStateModelerParams::max_input_samples,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params.cc#L60
Time,repo,README.md,.,309,309,309,309,309,309,309,309,309,309,309,309,309,309,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,491,491,491,495,495,495,495,495,495,496,496,496,496,503,503,503,503,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L174
Update,repo,README.md,.,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,202,202,202,207,207,207,207,207,207,209,209,209,209,209,209,209,209,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L91
Vec2,repo,README.md,.,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,163,163,163,163,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L33
WORKSPACE,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/workspace.bzl#L17
WobbleSmootherParams,repo,README.md,.,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params.h#L93
absl::FailedPreconditionError,repo,README.md,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler.cc#L112
absl::InvalidArgumentError,repo,README.md,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,12,12,12,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types.cc#L23
absl::optional,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/4cc28123aaf4ff01138b11f111de4d8d0a54c3ea/ink_stroke_modeler/stroke_modeler.h#L83
absl::statusor,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/CMakeLists.txt#L84
acceleration_weight,repo,README.md,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params_test.cc#L33
baseline_linearity_confidence,repo,README.md,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params_test.cc#L41
cmake/InkBazelEquivalents.cmake,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,code_element is a file name
deps,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/internal/prediction/kalman_filter/BUILD.bazel#L29
desired_number_of_samples,repo,README.md,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/params_test.cc#L36
drag_constant,repo,README.md,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L46
end_of_stroke_max_iterations,repo,README.md,.,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L49
end_of_stroke_stopping_distance,repo,README.md,.,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/stroke_modeler_test.cc#L48
event_type,repo,README.md,.,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,56,56,56,56,60,60,60,60,60,60,61,59,59,59,59,61,61,61,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L202
float,repo,README.md,.,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,115,115,115,114,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/ink_stroke_modeler/types_test.cc#L47
git_repository,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/workspace.bzl#L21
ink_stroke_modeler,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,124,124,124,124,124,127,127,127,127,129,129,129,129,130,130,130,130,129,129,129,127,128,128,128,130,130,130,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,https://github.com/google/ink-stroke-modeler/blob/2ecb7f58924769408ca38589db12af24f42c4f5f/workspace.bzl#L23
ink_stroke_modeler/CMakeLists.txt,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ink-stroke-modeler/blob/f61b353ee36e71b69a4399f01661593494840383/README.md,code_element is a file name
