code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
add_key,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,20,20,20,20,20,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L178
added_by_self,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L472
clang-format,repo,README.md,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/a59090462cca43480757817c1c402e02ed855e37/Makefile#L35
fscrypt,repo,README.md,0,0,0,0,1,1,4,-,-,-,-,-,-,-,9,9,9,9,9,15,15,15,15,15,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/generate_test_key_identifiers.py#L35
fscryptctl,repo,README.md,0,0,0,6,7,9,18,-,-,-,-,-,-,-,72,72,72,72,72,103,104,104,104,104,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L20
fscryptctl.1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/Makefile#L65
get_descriptor,repo,README.md,-,-,-,2,2,2,4,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/142326810eb19d6794793db6d24d0775a15aa8e5/test.py#L148
get_policy,repo,README.md,-,-,-,-,-,4,6,6,6,6,6,6,6,6,15,15,15,15,15,19,19,19,19,19,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L143
insert_key,repo,README.md,-,-,-,-,4,3,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/142326810eb19d6794793db6d24d0775a15aa8e5/test.py#L155
key_status,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,13,13,13,13,13,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L444
make,repo,README.md,-,-,-,1,2,2,6,6,6,6,17,17,17,17,18,18,18,18,18,18,18,18,18,18,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L364
pandoc,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/Makefile#L66
remove_key,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,23,23,23,23,23,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L122
set_policy,repo,README.md,-,-,-,-,-,5,8,8,8,8,8,8,8,8,22,22,22,22,22,25,25,25,25,25,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L169
user_count,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/README.md,https://github.com/google/fscryptctl/blob/d3ae1799c771af9a2abd75f6092e9905d8a83950/test.py#L472
