code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
android/libs,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/lib/src/third_party/ffigen/find_resource.dart#L64
android:name,repo,README.md,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/android/app/src/profile/AndroidManifest.xml#L6
"android:usesCleartextTraffic=""true""",repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/android/app/src/main/AndroidManifest.xml#L10
cronet:setup,repo,README.md,-,-,5,6,6,6,6,6,6,6,7,7,7,7,7,7,10,10,10,10,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/tool/build_wrapper.dart#L14
dart:io,repo,README.md,-,-,16,16,16,16,29,29,29,27,27,27,27,27,27,28,29,30,30,30,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/tool/update_tars.dart#L6
example_dart,repo,README.md,-,-,1,1,1,1,1,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/cli/pubspec.yaml#L1
getUrl(Uri.parse('http://info.cern.ch/'),repo,README.md,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/lib/main.dart#L38
lib,repo,README.md,-,-,17,17,17,17,17,17,17,17,22,22,22,22,22,22,22,22,25,25,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/tool/update_bindings.dart#L14
linux,repo,README.md,-,-,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/pubspec.yaml#L36
listen((contents),repo,README.md,-,-,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/lib/main.dart#L44
onDone,repo,README.md,-,-,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/lib/src/http_client_response.dart#L25
package:cronet,repo,README.md,-,-,15,15,15,15,24,24,24,24,27,27,27,27,27,28,31,32,32,32,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/tool/update_tars.dart#L8
permission.ACCESS_NETWORK_STATE,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/android/app/src/main/AndroidManifest.xml#L5
permission.INTERNET,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/android/app/src/profile/AndroidManifest.xml#L6
print(contents),repo,README.md,-,-,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/example/flutter/bin/example_dart.dart#L21
pubspec.yaml,repo,README.md,-,-,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,code_element is a file name
request.close(),repo,README.md,-,-,19,21,21,21,25,25,25,25,27,27,28,28,28,30,32,32,32,32,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/test/http_responses_test.dart#L38
root,repo,README.md,-,-,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/tool/update_bindings.dart#L8
run_all,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/benchmark/throughput.dart#L198
run_all.dart,repo,README.md,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,code_element is a file name
then((HttpClientRequest request),repo,README.md,-,-,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/lib/src/http_client_request.dart#L31
then((HttpClientResponse response),repo,README.md,-,-,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/lib/src/http_client_request.dart#L33
throughput.dart,repo,README.md,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/0f2a3fd2dfc8a096b50ffbbc4a5ea1c2f3e769d5/benchmark/run_all.dart#L10
transform(utf8.decoder),repo,README.md,-,-,11,13,13,13,15,15,15,15,17,17,18,18,18,19,20,20,20,20,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/README.md,https://github.com/google/cronet.dart/blob/47a666c41106097eeb5023da98082f98ee29d6e5/test/http_responses_test.dart#L39
