code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
make_cases(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L83
numeric_value,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L51
parameterized,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L14
patrick,repo,README.md,12,12,12,12,12,12,12,12,14,13,13,13,16,17,17,17,17,17,17,17,17,19,21,24,24,24,24,23,23,27,28,30,32,32,32,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L106
sin(pi / 4),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L50
sqrt(2),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L51
tan(pi / 4),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/man/with_parameters_test_that.Rd#L50
test_name,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,15,15,15,15,15,15,15,15,15,21,3,12,12,12,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L120
test_that,repo,README.md,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,8,8,8,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L74
testthat,repo,README.md,15,15,19,19,19,19,19,19,19,18,18,18,20,20,20,20,20,20,20,23,23,26,27,27,27,27,27,27,27,39,39,41,45,45,45,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L19
with_parameters_test_that,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,22,22,23,23,23,23,23,23,26,27,28,31,31,31,https://github.com/google/patrick/blob/b838a4c14df9d17c594c02b6816d074465536ee0/README.md,https://github.com/google/patrick/blob/720c8462c905a2792f81c2c288102d7ff2139c5b/tests/testthat/test-with_parameters.R#L15
