code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
GwtEvent,repo,README.md,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/impl/GenericEventType.java#L18
MyEventBinder,repo,README.md,.,.,.,.,.,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L40
artifactId,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L5
bindEventHandlers,repo,README.md,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L41
"bindEventHandlers(this, eventBus)",repo,README.md,.,.,.,.,.,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/EventBinder.java#L38
dispatch,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/GenericEvent.java#L64
eventBinder,repo,README.md,.,.,.,.,.,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/EventBinder.java#L35
eventBus,repo,README.md,.,.,.,.,.,31,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,50,53,53,53,53,53,53,53,53,53,53,53,56,56,56,56,56,56,59,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L38
getAssociatedType,repo,README.md,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/main/java/com/google/web/bindery/event/shared/binder/GenericEvent.java#L59
groupId,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/pom.xml#L4
handles,repo,README.md,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,https://github.com/google/gwteventbinder/blob/143b05fa805a34df9cd2540b210ac6774bb4b705/README.md,https://github.com/google/gwteventbinder/blob/46d3e72e9006a4c7801c077b1b83ffb11bf687f7/eventbinder/src/test/java/com/google/web/bindery/event/shared/binder/EventBinderTest.java#L169
