code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
ImageFile,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L8
PDT,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L5
ReloadReason,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L6
ReloadTime,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L7
TextFSM,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,51,51,53,53,53,53,53,53,53,53,53,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L77
TextTable,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/texttable.py#L50
WS,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L30
abc(x(y(z),wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/testdata/parseindexfail3_index#L4
bootflash:cat4500,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L13
cisco_bgp_summary_template,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L8
cisco_version_template,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L9
juniper_bgp_summary_template,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L12
juniper_version_template,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L13
unix_ifcfg_template,wiki,Cli-Table.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Cli-Table/91451965615a25d6421d5b6636d72f89ba4f2c86,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L14
(\d+),wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/unix_ifcfg_template#L2
0x118AD800,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L5
10GE,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L21
262144K,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L30
511K,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L37
667Mhz,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L32
CLI,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L20
CPU,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L32
ConfigRegister,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L3
EOF,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,27,27,27,27,27,27,27,27,27,27,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L831
FSM,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L53
ID,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L31
IN,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_ipv6_interface_example#L22
IOS,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L11
MPC8540,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L30
RELEASE,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L1
ROM,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_template#L13
SGA,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L7
SOFTWARE,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L1
TextFSM,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,51,51,53,53,53,53,53,53,53,53,53,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L77
U.S,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L21
WS,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L30
bootflash:cat4500,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L13
cisco_version_template,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/index#L9
input_data,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/tests/clitable_test.py#L95
sys.stdin.read(),wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/terminal.py#L487
template_file,wiki,Code-Lab.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/textfsm/wiki/Code-Lab/1c5f67afc4f45b698ecea43ee70984d11ce2f39e,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/clitable.py#L282
CLI,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/textfsm/wiki/Home/c9ad2dafa27726495e8f9cefe9cc2f07e1bbdcf2,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L20
TextFSM,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/textfsm/wiki/Home/c9ad2dafa27726495e8f9cefe9cc2f07e1bbdcf2,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L77
CLI,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L20
CPU,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L32
CSV,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/texttable.py#L22
EOF,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,27,27,27,27,27,27,27,27,27,27,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L831
FSM,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L53
ID,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/cisco_version_example#L31
NoRecord,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/textfsm/parser.py#L411
PDT,wiki,TextFSM.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/textfsm/wiki/TextFSM/297dbdf70fffb2baeba59239b8ab09b4087d1949,https://github.com/google/textfsm/blob/8eb38fd39f66082302b8c2819fc38f30e09d5e2f/examples/f10_version_example#L5
