code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,doc_link,source_link
GliDir,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc-test/vcc-test/vcc-test.vcxproj#L96
GlmDir,repo,README.md,12,12,12,12,12,16,16,16,16,17,17,17,17,17,17,17,21,21,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,29,29,29,29,31,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc-test/vcc-test/vcc-test.vcxproj#L96
GoogleTestDir,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,14,14,14,14,14,14,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc-test/vcc-test/vcc-test.vcxproj#L96
OpenGL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/tools/obj2gl.cpp#L205
OpenVR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/openvr/src/openvr.cpp#L17
OpenVrDir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/sample/openvr/openvr/openvr.vcxproj#L96
Paths,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,48,48,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc/vcc/vcc.vcxproj#L61
PngDir,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc-test/vcc-test/vcc-test.vcxproj#L96
Release,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,257,257,257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vulkan-cpp.sln#L85
SDK,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/CMakeLists.txt#L16
VCC_STRUCT_SERIALIZABLE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/types.h#L25
VK_BUFFER_USAGE_UNIFORM_BUFFER_BIT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc-test/src/compute_shader_integration_test.cpp#L79
VK_IMAGE_TILING_LINEAR,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/include/vcc/image.h#L100
VK_IMAGE_TILING_OPTIMAL,repo,README.md,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc-image/src/gli_loader.cpp#L81
VK_SHARING_MODE_EXCLUSIVE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,42,42,42,42,42,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/window.cpp#L140
VulkanSdk,repo,README.md,42,42,42,42,42,55,55,55,55,59,59,59,59,59,59,59,72,72,78,81,81,81,81,81,81,98,98,98,98,98,98,98,98,98,98,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,110,110,110,110,110,110,116,116,116,116,116,116,119,119,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vcc/vcc/vcc.vcxproj#L96
Win32,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,242,242,242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/26dc15af1732c5a185f5aeb63ab3b72f6cb6f3ce/vulkan-cpp.sln#L83
XCB,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/6ec88208eb6c1260a7481cf8973b928f5d7f66f9/CMakeLists.txt#L18
assets/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/build.gradle#L34
buffer_type,repo,README.md,110,110,118,118,118,122,122,122,122,125,125,125,125,125,125,125,125,125,125,126,126,126,126,126,126,126,126,126,126,126,126,126,129,129,129,129,125,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,60,60,60,60,60,60,60,60,60,60,60,60,60,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/memory.cpp#L57
function<T&()>,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/ad66a0b67fbb3db5078d7694e6159f5776d935dc/types/include/type/supplier.h#L27
input_buffer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,115,115,115,115,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/src/memory.cpp#L78
interleaved,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,2,2,2,2,2,2,2,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/memory.h#L27
interleaved_std140,repo,README.md,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,17,17,17,18,18,18,18,18,18,18,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types/include/type/types.h#L230
"layout(std140, binding = 1)",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/lighting/src/lighting-frag.frag#L38
light_type,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/types-test/src/serialize_type_test.cpp#L318
light_uniform_buffer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot.cpp#L235
linear,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,19,19,19,20,20,20,20,20,20,20,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc/include/vcc/pipeline.h#L51
linear_std140,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/vcc-test/src/compute_shader_integration_test.cpp#L78
max_lights,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/vulkan-cpp-library/blob/85b8bdbeabb3f58350a0bbe8720da2a7af2aaf14/README.md,https://github.com/google/vulkan-cpp-library/blob/82314d765013ce96e23186594259eebaf3127072/sample/teapot/src/teapot-frag.frag#L34
