code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
PrintAppender,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/lib/src/log.dart#L130
SimpleStringFormatter,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L66
WebAppender,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L25
all_tests,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/all_tests.dart#L15
all_web_tests,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/all_web_tests.html#L4
appender,repo,README.md,-,-,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L25
appender.attachLogger(logger),repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L27
call(LogRecord record),repo,README.md,-,-,-,-,-,-,-,-,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L98
formatter,repo,README.md,-,-,16,16,16,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,31,31,31,31,31,32,32,32,32,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/appender_test.dart#L34
main(),repo,README.md,-,-,5,5,5,5,5,5,5,6,7,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L24
package:logging,repo,README.md,-,-,3,3,3,3,3,3,3,7,7,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L19
package:quiver,repo,README.md,-,-,2,2,2,2,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/6b7df6d5dcb101d05db41d7c88be48dfcc995a37/test/formatter_test.dart#L19
package:quiver_log,repo,README.md,-,-,-,-,-,-,-,-,2,3,3,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/test/webappender_test.dart#L20
quiver_log,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/pubspec.yaml#L1
ss.S,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/README.md,https://github.com/google/quiver-log/blob/5e1be6118752a17bccf82334f523ea633570ec3b/lib/src/log.dart#L102
