code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
"demorgan(a, b)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py_test.py#L62
examples,repo,README.md,28,28,28,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py_test.py#L24
examples/z3py/z3py.py,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,code_element is a file name
for,repo,README.md,483,483,483,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables_test.py#L12
"for_stmt(target, iter_, body, orelse, local_writes)",repo,README.md,2,2,2,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/tf/tf.py#L193
functions,repo,README.md,42,42,42,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/functions_test.py#L26
if,repo,README.md,453,453,453,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables_test.py#L140
"if_stmt(cond, body, orelse, local_writes)",repo,README.md,3,3,3,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py.py#L116
init(name),repo,README.md,4,4,4,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/functions_test.py#L150
logical_ops,repo,README.md,13,13,13,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/logical_ops_test.py#L15
not_(x),repo,README.md,6,6,6,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/logical_ops.py#L71
"or_(a, b)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py.py#L75
overload.for_stmt,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/control_flow.py#L145
overload.if_stmt,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/control_flow.py#L54
overload.while_stmt,repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/control_flow.py#L87
pytorch_to_tf,repo,README.md,3,3,3,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/benchmarks/rnn_benchmark.py#L27
variables,repo,README.md,99,99,99,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables_test.py#L15
while,repo,README.md,44,44,44,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/transformers/virtualization/variables_test.py#L188
"while_stmt(cond, body, orelse, local_writes)",repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/tf/tf.py#L130
z3.Not(x),repo,README.md,1,1,1,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py.py#L111
z3py,repo,README.md,18,18,18,https://github.com/google/pyctr/blob/5cf2a03dd8115d730a672001ef10a4fac5b82803/README.md,https://github.com/google/pyctr/blob/056a85cd338d2977f69483d0c735bb695666e2aa/examples/z3py/z3py_test.py#L15
