code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
OF,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
OR,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
PAIR,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/dist/index.html#L72
TensorFlow,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L33
WARRANTIES,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
WITHOUT,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/sass/vars.scss#L13
data/images,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L19
data/saved_model_web,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L40
dist/model/,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/app.yaml#L24
scavenger_classes.ts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L30
src/js/game.ts,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,code_element is a file name
src/js/scavenger_classes.ts,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,code_element is a file name
tensorflowjs_model,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/js/mobilenet.ts#L26
training,repo,README.md,-,-,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/training/Dockerfile.gpu#L33
watchify,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/yarn.lock#L3606
web_model,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/74a252fc2fa50ea9c68104fe22222d4d654a7f84/src/js/mobilenet.ts#L26
weights_manifest,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/emoji-scavenger-hunt/blob/a51b63b4679932ec528fd90ffb176391edc8b93b/README.md,https://github.com/google/emoji-scavenger-hunt/blob/fa9c1ff4739fc00eb40552685310e9fe1c4b5605/src/js/mobilenet.ts#L27
