code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,doc_link,source_link
Option<String>,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,11,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/lib.rs#L104
SubCommandOne,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/lib.rs#L922
SubCommandTwo,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,6,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/lib.rs#L923
TopLevel,repo,README.md,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17,6,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L60
Two(SubCommandTwo),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L69
Vec,repo,README.md,-,-,-,-,-,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,36,36,36,36,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,59,49,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/parse_attrs.rs#L29
WithPositional,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L121
always_five(_value: &str),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L48
"argh(default = ""<your_code_here>"")",repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L61
argh(option),repo,README.md,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,24,24,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,30,29,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/parse_attrs.rs#L141
"argh(option, default = ""String::from(\""only up\"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L83
"argh(option, default = ""default_height()",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L79
"argh(option, from_str_fn(always_five)",repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L44
argh(subcommand),repo,README.md,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/parse_attrs.rs#L490
"argh(subcommand, name = ""one"")",repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L74
"argh(subcommand, name = ""two"")",repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L83
argh(switch),repo,README.md,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,9,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L85
"argh(switch, short = 'j')",repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L22
default_height(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L67
derive(FromArgs),repo,README.md,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,34,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/parse_attrs.rs#L11
"derive(FromArgs, PartialEq, Debug)",repo,README.md,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,21,17,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L18
fn(&str),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L95
from_env,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L9
from_env(),repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L34
from_str_fn,repo,README.md,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh_derive/src/parse_attrs.rs#L16
height,repo,README.md,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L27
jump,repo,README.md,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L21
main(),repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L87
no_run,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L15
pilot_nickname,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/tests/lib.rs#L31
some_bin,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/argh/blob/aae704e29f02300b54758d9a2820e2477ceee8bc/README.md,https://github.com/google/argh/blob/60b498075349db5742aa825ba541e59bf3ae6721/argh/src/lib.rs#L37
