code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
action_env,repo,README.md,1,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/b19ffe9cf0f0c50586aa778af2b1b2fa2c6ea50c/setup.py#L83
bazel,repo,README.md,6,6,6,6,6,6,6,6,6,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/post_analysis_colab_for_trimmed_match.ipynb#L31
budget_list,repo,README.md,13,13,13,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L38
candidate_designs,repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L40
confidence_level,repo,README.md,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/design_colab_for_trimmed_match.ipynb#L526
delta_response,repo,README.md,93,92,92,92,92,92,92,92,92,92,95,95,95,95,95,95,95,95,95,95,95,95,95,102,102,102,102,102,102,104,104,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L120
delta_spend,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,28,28,28,28,28,28,28,28,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L124
design.common_classes,repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/fa5c27fe12cf44031d5cb50f7576c7c8e8162be9/trimmed_match/design/tests/common_classes_test.py#L16
design_colab_for_trimmed_match,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/g3doc/Trimmed_Match_post_analysis_colab_guide.md#L63
git,repo,README.md,-,-,-,-,-,-,-,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/post_analysis_colab_for_trimmed_match.ipynb#L34
iROAS,repo,README.md,20,19,19,19,19,19,19,19,19,19,40,35,35,35,35,35,35,55,55,55,53,53,53,53,53,57,57,57,57,57,57,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L160
matching_metrics,repo,README.md,8,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L29
num_pairs_filtered_list,repo,README.md,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L200
pip,repo,README.md,0,0,0,0,0,0,0,-,-,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/post_analysis_colab_for_trimmed_match.ipynb#L36
post_analysis_colab_for_trimmed_match,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/g3doc/Trimmed_Match_post_analysis_colab_guide.md#L15
pretest_data,repo,README.md,26,25,25,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L21
report.conf_interval_low,repo,README.md,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/design/matched_pairs_rmse.py#L250
report.conf_interval_up,repo,README.md,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/design/matched_pairs_rmse.py#L251
setup.py,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,code_element is a file name
setuptools,repo,README.md,-,-,-,-,-,-,-,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/notebook/post_analysis_colab_for_trimmed_match.ipynb#L34
spend_proxy,repo,README.md,29,28,28,28,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L28
time_window_for_design,repo,README.md,16,15,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L30
time_window_for_eval,repo,README.md,20,19,19,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L31
tmd.report_candidate_designs,repo,README.md,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/387fb9cfde4aae5650213596134d85a958939ca5/trimmed_match/design/trimmed_match_design.py#L40
trimmed_match,repo,README.md,51,47,48,48,48,48,48,48,48,50,69,69,69,69,69,69,69,114,114,114,115,115,117,118,118,118,120,120,120,120,120,https://github.com/google/trimmed_match/blob/94e7abd86580f670d2955b327ce3480b641af691/README.md,https://github.com/google/trimmed_match/blob/704fbb04b2b6138e1203764549e390cfc9625768/trimmed_match/post_analysis/trimmed_match_post_analysis.py#L22
