code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
ciborium,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,14,11,14,14,14,14,14,14,16,16,16,16,16,16,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,25,25,25,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/lib.rs#L19
expect,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,11,11,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/sign/mod.rs#L370
i128,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/CHANGELOG.md#L45
i64,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,53,54,54,54,54,54,54,54,55,55,55,55,55,49,49,49,49,49,49,49,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,65,65,65,65,65,65,65,65,65,65,65,65,65,65,68,68,68,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/mac/tests.rs#L209
no_std,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/lib.rs#L99
panic!,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/key/mod.rs#L276
rustfmt,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/.rustfmt.toml#L1
serde_cbor,repo,README.md,9,12,14,14,17,14,14,14,14,14,14,15,16,16,16,18,20,20,20,20,20,20,22,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/ef27d65b1b5f4ceeae75d11bc567631d8c62b5ed/src/util/tests.rs#L21
sk-cbor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,10,10,10,10,10,10,10,10,13,13,13,13,13,10,10,7,7,7,7,7,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/fuzz/Cargo.lock#L21
unwrap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,171,171,171,171,171,171,171,171,178,178,178,170,172,172,174,174,174,174,177,177,177,177,177,177,177,177,177,177,177,177,177,180,182,182,182,182,182,182,183,183,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,206,211,211,211,https://github.com/google/coset/blob/90ecdb1c08c3ddb5ceaf902bf55ff7c2755b123e/README.md,https://github.com/google/coset/blob/23d23c2c8fa9b5cb7c76d43cdf4413f5ec1efa4f/src/sign/tests.rs#L100
