code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,doc_link,source_link
PCBDL,repo,README.md,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/html.py#L284
PINS,repo,README.md,-,0,0,0,27,27,27,28,28,28,28,28,28,28,28,36,36,36,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,51,51,51,51,51,51,51,49,49,49,49,49,49,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/small_parts.py#L34
"R(""1k"", to=gnd)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/class_a.py#L36
"R(""1k"", to=vcc)",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/class_a.py#L35
REFDES_PREFIX,repo,README.md,-,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/small_parts.py#L126
TODO,repo,README.md,-,6,6,6,6,6,7,7,7,7,7,7,8,8,8,10,10,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,7,7,7,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/netlistsvg.py#L186
Transistor(Part),repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/base.py#L463
VIN,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/Makefile#L42
class_a.py,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
examples/,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/doc/netlistsvg.rst#L48
examples/class_a.py,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
fill_refdes(),repo,README.md,-,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/9b3e9f35367eab2f999b5211dea17450d9b72f19/examples/servo_micro.py#L473
global_context,repo,README.md,-,4,5,5,4,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/netlistsvg.py#L290
netlist.py,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/Makefile#L63
netlistsvg.py,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
parts_list,repo,README.md,-,6,6,6,6,6,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/netlistsvg.py#L311
pcbdl/netlistsvg.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
servo_micro,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,26,27,27,27,27,27,27,27,27,27,32,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/integration/netlist.py#L30
servo_micro.py,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
third_party,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/servo_micro.py#L21
to=,repo,README.md,-,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/small_parts.py#L43
voltage_divider.py,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,code_element is a file name
