code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,doc_link,source_link
CMakeLists,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,1,1,1,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/config.h.in#L15
Decode(dictionary.data(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L69
Encode(target.data(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L63
INSTALL,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,64,64,32,32,32,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/21d7d0b9c3d0c3ccbdb221c85ae889373f0a2a58/packages/rpm/rpm.spec#L57
OFF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,9,9,14,14,14,14,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L34
ON,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L15
OPEN_VCDIFF_DIR,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L29
OS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,12,12,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/packages/deb.sh#L78
README,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,34,34,14,14,14,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/testdata/configure.ac.v0.2#L8
RFC,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/zlib/zlib.h#L57
SetFormatFlags(open_vcdiff::VCD_FORMAT_INTERLEAVED),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L62
VCDIFF,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,162,162,162,162,162,162,163,120,120,120,120,120,120,120,163,163,163,163,163,163,163,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder.cc#L16
VCDiffDecoder,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L138
VCDiffEncoder,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L137
delta_file,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L50
dictionary.size(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L61
encoder(dictionary.data(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L61
gtest.sln,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L39
open_vcdiff,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,132,132,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L52
std::string,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,195,195,195,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L70
target.size(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L63
target_file,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L50
vcdiff,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,281,281,281,285,285,285,286,206,206,206,206,206,207,207,240,240,240,240,240,240,240,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/testdata/configure.ac.v0.2#L7
API,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,18,35,35,35,35,35,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/Home/451fc240653e3121958a250fed0a98b6af01b5e6,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L5
McIlroy,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-vcdiff/wiki/Home/451fc240653e3121958a250fed0a98b6af01b5e6,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/blockhash.h#L15
OS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,67,115,115,115,115,115,38,38,38,38,12,12,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-vcdiff/wiki/Home/451fc240653e3121958a250fed0a98b6af01b5e6,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/packages/deb.sh#L78
RFC,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,https://github.com/google/open-vcdiff/wiki/Home/451fc240653e3121958a250fed0a98b6af01b5e6,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/zlib/zlib.h#L57
VCDIFF,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,162,162,162,162,162,162,162,162,162,163,120,120,120,120,120,120,120,163,163,163,163,163,163,163,https://github.com/google/open-vcdiff/wiki/Home/451fc240653e3121958a250fed0a98b6af01b5e6,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder.cc#L16
-checksum,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,7,7,7,7,7,7,7,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdiff_test.sh#L30
-interleaved,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,9,9,9,9,9,9,9,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdiff_test.sh#L30
-lvcdcom,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L72
-lvcddec,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L73
-lvcdenc,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L72
/usr/local/include,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/21d7d0b9c3d0c3ccbdb221c85ae889373f0a2a58/INSTALL#L145
0x00,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L557
0x04,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L822
0x53,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdecoder4_test.cc#L875
<google/vcdecoder.h>,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L66
<google/vcencoder.h>,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L59
ASCII,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,17,20,20,20,20,20,14,14,14,14,12,12,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdiff_defs.h#L55
Decode(dictionary.data(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L69
DecodeChunk(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdecoder4_test.cc#L258
Encode(target.data(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L63
EncodeChunk(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder.cc#L96
FinishDecoding(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L203
GNU,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,598,609,609,609,609,609,314,314,314,314,88,88,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/solaris/libstdc++.la#L2
HTTP,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,3,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/google/format_extension_flags.h#L41
HashedDictionary,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L134
Header4,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdiff_defs.h#L49
INSTALL,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,64,64,64,64,64,64,32,32,32,32,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/packages/rpm/rpm.spec#L57
Init(),wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,92,98,98,98,98,98,92,92,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L180
LICENSE,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,67,68,68,68,68,68,69,69,69,69,63,63,63,63,63,64,64,65,65,65,65,65,65,65,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcencoder_test.cc#L7
MacDonald,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/THANKS#L40
McIlroy,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/blockhash.h#L15
OS,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,67,115,115,115,115,115,38,38,38,38,12,12,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/packages/deb.sh#L78
OutputString,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdiffengine_test.cc#L285
RFC,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/zlib/zlib.h#L57
SDCH,wiki,How to use openvcdiff.md,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/open-vcdiff/wiki/How to use openvcdiff/734d8f2588194f8f98dff34d096b1744733ede4c,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/vcdecoder_test.cc#L38
