code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,doc_link,source_link
IS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L146
KIND,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
LICENSE,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L196
NamedGroup(field string),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/parser/parser.go#L31
OF,repo,README.md,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
OR,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
"Parse(fields []string, b []byte)",repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/postmortem/postmortem.go#L63
SRE,repo,README.md,-,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/postmortem/testdata/pm01.txt#L8
"Save(buf *bytes.Buffer, filename string)",repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/parser/parser.go#L32
WARRANTIES,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
WITHOUT,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
cloud_credentials,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L36
download_destination,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L38
download_folder,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L37
parse_kind,repo,README.md,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L33
parse_output_path,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L35
parse_path,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L34
upload_dataset,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L41
upload_path,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L39
upload_project,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L40
upload_table,repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L42
upload_truncate,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L43
