code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
ShellSession,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/gensxg.md#L5
X509_free(cert),repo,README.md,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L70
assert(certfile != NULL),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/sxg_signer_list.md#L145
assert(fp != NULL),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/sxg_buffer.md#L123
assert(keyfile != NULL),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/sxg_signer_list.md#L138
assert(wrote == 1),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L108
fclose(certfile),repo,README.md,8,8,8,8,8,8,8,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/test_util.cc#L47
fclose(fp),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L66
fclose(keyfile),repo,README.md,11,11,11,11,11,11,11,13,13,13,13,13,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/test_util.cc#L59
"fopen(""ecdsa.cert"", ""r"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L59
"fopen(""ecdsa.privkey"", ""r"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L54
"fopen(""hello.sxg"", ""w"")",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L62
"fwrite(result.data, result.size, 1, fp)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L64
main(),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L51
my_signer,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L34
"printf(""Failed to append content-type header.\n"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L80
"printf(""Failed to append signer.\n"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L72
"printf(""Failed to encode content.\n"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L92
"printf(""Failed to generate SXG.\n"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L100
"printf(""Failed to set payload.\n"")",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/docs/libsxg.md#L85
priv_key,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L27
size_t,repo,README.md,82,82,82,82,82,82,82,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,104,104,104,104,104,104,105,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,105,105,105,107,107,108,107,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L64
sxg_add_ecdsa_signer,repo,README.md,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L33
sxg_buffer_release(&result),repo,README.md,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L74
sxg_buffer_t,repo,README.md,185,185,185,185,185,185,185,188,189,189,189,189,189,185,185,185,185,185,185,185,185,185,185,185,185,185,216,216,216,216,216,216,221,221,221,221,221,221,221,221,221,221,221,221,221,221,220,220,222,222,222,222,222,222,222,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L56
sxg_empty_buffer(),repo,README.md,77,77,77,77,77,77,77,79,80,80,80,80,80,79,79,79,79,79,79,79,79,79,79,79,79,79,92,92,92,92,92,92,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,97,97,97,97,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L56
sxg_empty_encoded_response(),repo,README.md,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L51
sxg_empty_raw_response(),repo,README.md,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L40
sxg_empty_signer_list(),repo,README.md,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L32
"sxg_encode_response(4096, &content, &encoded)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L52
sxg_encoded_response_release(&encoded),repo,README.md,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L73
sxg_encoded_response_t,repo,README.md,30,30,30,30,30,30,30,31,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33,33,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L51
sxg_generate,repo,README.md,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L57
sxg_header_append_string,repo,README.md,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L41
sxg_raw_response_release(&content),repo,README.md,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L72
sxg_raw_response_t,repo,README.md,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L40
