code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
LICENSE,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L7
LLC,repo,README.md,59,59,59,59,59,59,60,61,61,61,61,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L1
MERROR(),repo,README.md,-,-,-,-,-,-,-,-,122,122,122,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L39
MERROR_DOMAIN(),repo,README.md,-,-,-,-,-,-,-,-,20,20,20,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros_test.cc#L185
MERROR_DOMAIN(merror::Default),repo,README.md,-,-,-,-,-,-,-,-,17,17,17,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L229
MErrorDomain,repo,README.md,-,-,-,-,-,-,-,-,188,188,188,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros_test.cc#L93
MTRY(),repo,README.md,-,-,-,-,-,-,-,-,22,22,22,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L45
"MTRY(Div(a, b)",repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/default_test.cc#L40
MTRY(ReadFile(filepath),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L294
MTRY(expr),repo,README.md,-,-,-,-,-,-,-,-,6,6,6,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L77
MVERIFY(),repo,README.md,-,-,-,-,-,-,-,-,22,22,22,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L42
MVERIFY(b != 0),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/default_test.cc#L35
MVERIFY(expr),repo,README.md,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L77
MVERIFY(hunger_level >= 0),repo,README.md,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L274
MakeSandwich(),repo,README.md,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L258
"Mod(int a, int b)",repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/default_test.cc#L40
OF,repo,README.md,62,62,62,62,62,62,63,64,64,64,64,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
OR,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
OkStatus(),repo,README.md,-,-,-,-,-,-,-,-,19,19,19,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/status_test.cc#L139
Status,repo,README.md,-,-,-,-,-,-,-,-,96,96,96,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L120
StatusOr,repo,README.md,-,-,-,-,-,-,-,-,24,24,24,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L290
StatusOr<T>,repo,README.md,-,-,-,-,-,-,-,-,5,5,5,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/status.h#L196
WARRANTIES,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
WITHOUT,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
__FILE__,repo,README.md,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L170
__LINE__,repo,README.md,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L172
bool,repo,README.md,-,-,-,-,-,-,-,-,338,338,338,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L31
domain,repo,README.md,-,-,-,-,-,-,-,-,297,297,297,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L78
expr,repo,README.md,-,-,-,-,-,-,-,-,59,59,59,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L70
false,repo,README.md,-,-,-,-,-,-,-,-,168,168,168,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L32
hunger_level,repo,README.md,-,-,-,-,-,-,-,-,2,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L275
merror::Default,repo,README.md,-,-,-,-,-,-,-,-,8,0,0,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/5dae1d0bfb3e6ae753f52004d75c9e933335d6fb/merror/macros.h#L244
merror::Default(),repo,README.md,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L244
optional<T>,repo,README.md,-,-,-,-,-,-,-,-,12,12,12,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L149
relop,repo,README.md,-,-,-,-,-,-,-,-,9,9,9,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L52
std::cerr,repo,README.md,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/observer_test.cc#L47
std::cout,repo,README.md,-,-,-,-,-,-,-,-,59,59,59,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L203
unique_ptr<T>,repo,README.md,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros_test.cc#L40
x,repo,README.md,-,-,-,-,-,-,-,-,143,143,143,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types.h#L184
y,repo,README.md,-,-,-,-,-,-,-,-,24,24,24,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/internal/preprocessor_test.cc#L24
