code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
install_rules_dependencies(),repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/WORKSPACE#L26
install_rules_setup(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,2,2,2,2,2,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/setup.bzl#L17
installer,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,50,50,50,50,50,50,46,46,46,43,43,43,43,44,44,44,44,46,47,47,47,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/tests/installer_test.sh#L43
installer_rule,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/docs/regen.sh#L21
"load(""@bazel_tools//tools/build_defs/repo:http.bzl"", ""http_archive"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/WORKSPACE#L38
"load(""@com_github_google_rules_install//:defs.bzl"", ""installer"")",repo,README.md,2,2,2,2,2,2,2,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/d31bb4e30c82cbf017e1b723a144d320d676f9d2/tests/BUILD.bazel#L15
"load(""@com_github_google_rules_install//:deps.bzl"", ""install_rules_dependencies"")",repo,README.md,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/WORKSPACE#L24
"load(""@com_github_google_rules_install//:package.bzl"", ""install_rules_dependencies"")",repo,README.md,-,-,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/d31bb4e30c82cbf017e1b723a144d320d676f9d2/examples/WORKSPACE#L36
"load(""@com_github_google_rules_install//:setup.bzl"", ""install_rules_setup"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,1,1,1,1,1,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/WORKSPACE#L65
"load(""@com_github_google_rules_install//installer:def.bzl"", ""installer"")",repo,README.md,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/tests/BUILD.bazel#L15
rules_install,repo,README.md,1,1,1,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/0f29024c44a6c67e1c71e276f7e64f0c91b1e3a0/examples/README.md#L8
strip_prefix,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,3,3,3,3,3,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/WORKSPACE#L58
sudo,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/installer/installer.bash.template#L25
~/bin,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/README.md#L5
