code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
GoBack,repo,README.md,-,2,2,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L64
GoHome,repo,README.md,-,2,2,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L63
Object,repo,README.md,12,12,18,18,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L54
String,repo,README.md,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/emulator.test.js#L43
UI,repo,README.md,-,1,1,1,1,1,2,2,2,2,2,2,2,2,2,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/net/logcat.js#L136
US,repo,README.md,-,-,4,4,4,4,11,11,11,11,11,11,11,11,11,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L112
authHeader,repo,README.md,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L22
authHeader(),repo,README.md,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L50
console.error(e),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L102
data,repo,README.md,-,41,55,55,55,55,112,112,112,117,122,122,122,122,122,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L38
end,repo,README.md,-,16,16,16,14,15,19,19,19,19,19,19,19,19,19,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L103
false,repo,README.md,32,32,32,32,32,35,39,39,39,39,39,39,39,39,39,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/emulator.test.js#L111
fnNotify,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/net/logcat.js#L138
gRPC,repo,README.md,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/emulator.test.js#L59
getStatus,repo,README.md,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/simple_png_view.test.js#L52
"log(""emulator audio: "" + s)",repo,README.md,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/d9aa985ab40790050dd8c28ce34d8e05cb386750/src/components/emulator/emulator.js#L104
"log(""emulator state: "" + s)",repo,README.md,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/d9aa985ab40790050dd8c28ce34d8e05cb386750/src/components/emulator/emulator.js#L107
null,repo,README.md,24,28,30,30,41,41,41,41,41,42,42,42,42,42,42,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L107
onAudioStateChange,repo,README.md,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L30
onError,repo,README.md,27,27,27,27,27,27,19,19,19,19,19,19,19,19,19,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L101
onStateChange,repo,README.md,13,13,14,14,14,14,14,14,14,16,16,16,16,16,16,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/simple_png_view.test.js#L100
refreshRate,repo,README.md,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/net/logcat.js#L53
render(),repo,README.md,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L35
sendKey,repo,README.md,-,3,3,3,4,4,5,5,5,5,5,5,5,5,5,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/event_handler.test.js#L77
start,repo,README.md,-,9,9,9,14,15,23,23,23,23,23,23,23,23,23,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L94
true,repo,README.md,882,800,1278,1274,1042,1044,2128,2128,2128,2131,2135,2135,2081,2081,2081,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L49
unauthorized(),repo,README.md,11,11,11,11,11,11,7,7,7,7,7,7,7,7,7,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/proto/emulator_web_client.js#L55
updateStatus,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/event_handler.js#L64
uriOrEmulator,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/net/logcat.js#L40
