code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
InputAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
LogcatValidationAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
LongClickAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
LoopScreenContentValidationAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
RebootAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
ScreenCapAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
ScreenContentValidationAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
ScreenRotateAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
ScriptExecutionAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
ScrollScreenContentValidationAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
SwipeAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
UIConductor,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/package.sh#L68
XML,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/xmldumper/app/src/main/res/values/strings.xml#L2
ZoomAction,wiki,1.-Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,https://github.com/google/android-uiconductor/wiki/1.-Basic-Concept/02760857a5384d808c819f0eb2eacec04c7d83f1,https://github.com/google/android-uiconductor/blob/f84d0a0b4732d610f542c102bca0501c8687c71c/prebuild/dist/main.bundle.js.map#L1
@class,wiki,Advanced-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2022,2340,2340,2340,2340,4680,2340,2340,2340,2322,2322,2323,102,102,102,102,102,102,102,102,102,0,0,0,https://github.com/google/android-uiconductor/wiki/Advanced-Actions/1edd19557fa8e9d80d522343428d5f90e6fa3072,https://github.com/google/android-uiconductor/blob/a0fe38a61b5e126e6f48e4447848ab5bcbdc96bd/prebuild/dist/frontend/vendor.js.map#L1
@resource,wiki,Advanced-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-uiconductor/wiki/Advanced-Actions/1edd19557fa8e9d80d522343428d5f90e6fa3072,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/backend/core/devicesdriver/AndroidDeviceDriver.java#L189
ID,wiki,Advanced-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,107,147,147,147,147,257,115,115,115,115,115,115,105,105,105,105,105,105,105,105,105,109,109,109,https://github.com/google/android-uiconductor/wiki/Advanced-Actions/1edd19557fa8e9d80d522343428d5f90e6fa3072,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L607
ViewGroup,wiki,Advanced-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,https://github.com/google/android-uiconductor/wiki/Advanced-Actions/1edd19557fa8e9d80d522343428d5f90e6fa3072,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L275738
XML,wiki,Advanced-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,43,43,43,43,59,35,35,35,35,35,35,38,47,47,47,47,47,47,47,47,49,49,49,https://github.com/google/android-uiconductor/wiki/Advanced-Actions/1edd19557fa8e9d80d522343428d5f90e6fa3072,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/xmldumper/app/src/main/res/values/strings.xml#L2
NOTE,wiki,Basic-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,118,98,98,98,98,192,96,96,96,96,96,96,108,108,108,108,108,108,108,108,108,117,117,117,https://github.com/google/android-uiconductor/wiki/Basic-Actions/1abfe3854e05da0886b0f63faba414b97a043f51,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/xmldumper/build.gradle#L11
UI,wiki,Basic-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89,82,82,82,82,134,82,82,82,78,78,78,91,100,100,100,100,100,100,100,100,77,77,77,https://github.com/google/android-uiconductor/wiki/Basic-Actions/1abfe3854e05da0886b0f63faba414b97a043f51,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/xmldumper/app/src/main/java/com/google/uicd/xmldumper/httpd/ExecutionServer.java#L48
UIConductor,wiki,Basic-Actions.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,20,20,20,20,31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,https://github.com/google/android-uiconductor/wiki/Basic-Actions/1abfe3854e05da0886b0f63faba414b97a043f51,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L190742
ClickAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,16,16,16,16,18,16,16,16,16,16,16,31,31,31,31,31,31,31,31,31,30,30,30,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167130
CommandLineAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167136
CompoundAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,49,49,49,49,51,49,49,49,53,53,53,76,76,76,76,76,76,76,76,76,75,75,75,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167142
ConditionClickAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,17,17,17,17,21,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167148
DragAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,12,12,12,14,12,12,12,16,16,16,19,19,19,19,19,19,19,19,19,18,18,18,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167160
FetchScreenContentAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167166
GlobalVariableValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,12,12,12,12,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167172
InputAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,16,16,16,16,18,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,23,23,23,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167184
LogcatValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167190
LongClickAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,17,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,17,17,17,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167196
LoopScreenContentValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,19,19,19,19,23,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167202
RebootAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,13,13,13,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167214
ScreenCapAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167220
ScreenContentValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,31,31,31,31,35,31,31,31,30,30,30,35,37,37,37,37,37,37,37,37,35,35,35,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/python_uiautomator/constant.py#L114
ScreenRotateAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167232
ScriptExecutionAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,16,16,16,16,20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L166944
ScrollScreenContentValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,21,21,21,21,25,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,18,18,18,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L167244
SnippetValidationAction,wiki,Basic-Concept.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,15,15,15,15,19,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,15,15,15,https://github.com/google/android-uiconductor/wiki/Basic-Concept/ee3fff50926288a79b9839bff4222b11807776ff,https://github.com/google/android-uiconductor/blob/c62ce0ef38cf88ffeaa14e586de2c7b23b81b78b/prebuild/dist/frontend/uicd-bundle.js#L166997
