code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
com.android.library,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/39f59767f722fccf156888abd1ed575783529f2d/secrets-gradle-plugin/src/main/java/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPlugin.kt#L58
defaultPropertiesFileName,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/main/java/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginExtension.kt#L34
google.secrets_gradle_plugin,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/dbd77810d9bb59802fc7ec7f92dab675c6857bce/sample-app/src/main/java/com/google/secrets_gradle_plugin/sample/MainActivity.kt#L15
google.secrets_plugin,repo,README.md,.,.,.,.,.,.,.,.,.,10,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/007c791dafe371422bfadd323d88d9f8061a06fa/sample-app/src/main/java/com/google/secrets_plugin/sample/MainActivity.kt#L15
"id(""com.google.android.libraries.mapsplatform.secrets-gradle-plugin"")",repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/sample-app/build.gradle.kts#L20
"id(""com.google.secrets_gradle_plugin"")",repo,README.md,.,.,.,.,.,.,.,.,.,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/dbd77810d9bb59802fc7ec7f92dab675c6857bce/sample-app/build.gradle.kts#L20
"id(""com.google.secrets_plugin"")",repo,README.md,.,.,.,.,.,.,.,.,.,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/007c791dafe371422bfadd323d88d9f8061a06fa/sample-app/build.gradle.kts#L20
ignoreList,repo,README.md,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/test/kotlin/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginTest.kt#L88
keyToIgnore,repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets.properties#L5
local.properties,repo,README.md,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/test/kotlin/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginTest.kt#L77
plugin:1,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/6c2b99ed247eb771f51f556c698df69cbfb74b0d/build.gradle#L12
plugin:2,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/build.gradle#L19
plugin:secrets,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/build.gradle#L19
propertiesFileName,repo,README.md,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/test/kotlin/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginTest.kt#L70
release,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/.releaserc#L4
"uri(""https://maven.pkg.github.com/google/secrets-gradle-plugin"")",repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/build.gradle#L9
