code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,doc_link,source_link
data_volumes,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L67
deltas,repo,README.md,-,-,-,-,-,-,-,-,-,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L117
doc/manual.md,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,code_element is a file name
ffn_inference_colab_demo.ipynb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L23
ffn_inference_demo.ipynb,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,code_element is a file name
fov_size,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/models/fib25/README.md#L7
grayscale_maps,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L139
image_mean,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L127
image_stddev,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L129
inference_request,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn/inference/inference_flags.py#L28
inference_training_sample2,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/doc/sample_workflow.md#L36
input_volume,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/compute_partitions.py#L11
label_volumes,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L74
lom_radius,repo,README.md,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn/training/inputs.py#L305
min_size,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn/inference/storage.py#L377
model_args,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L85
model_name,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L81
neuroproof_examples,repo,README.md,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/third_party/neuroproof_examples/README.md#L4
npz,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn/inference/storage.py#L123
output_volume,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/compute_partitions.py#L12
partition_volumes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/build_coordinates.py#L5
results/fib25/sample-training2.npz,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,code_element is a file name
results/fib25/training2,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L148
run_inference.py,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/setup.py#L11
storage.load_segmentation,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/doc/sample_workflow.md#L30
third_party,repo,README.md,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L116
train.py,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/setup.py#L11
train_coords,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L65
training_sample2,repo,README.md,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L139
validation1,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/models/fib25/README.md#L1
