code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,doc_link,source_link
MIT,repo,README.md,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/vendor/github.com/mitchellh/go-homedir/LICENSE#L1
URL,repo,README.md,.,.,.,.,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,283,283,283,283,283,283,271,271,271,271,271,271,271,271,271,271,271,271,267,270,270,270,271,271,271,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/licenses/library.go#L156
check,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,30,30,30,30,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/cli02/go.sum#L641
client_model,repo,README.md,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/427c3c9ad3e10ec8eb3d1c9d4fbea82aad4f78b7/testdata/modules/cli02/go.sum#L247
csv,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,7,7,7,7,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/e2e_test.go#L67
errors,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,131,131,131,131,131,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/vendor/github.com/mitchellh/go-homedir/homedir.go#L5
github.com/google/go-licenses,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,26,26,26,26,26,26,26,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/licenses.csv#L1
github.com/google/go-licenses/licenses,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,23,23,23,23,23,23,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/save.go#L27
go-licenses,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,31,28,28,28,28,28,28,28,28,28,28,28,28,40,44,47,48,48,50,50,49,54,54,54,54,54,54,54,54,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/README.md#L3
gongyuan_kubeflow_org,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/e6efe1456f252616461b6ac63e5c3330c7c60f76/licenses/module.go#L47
licenses.csv,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/e2e_test.go#L78
save,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/save.go#L35
save_path,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/save.go#L52
ssh_config,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/go.sum#L196
third_party,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/licenses/library.go#L27
