code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
WHERE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L67
YYYYMMDD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/lib/utils.ts#L80
account,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,22,22,22,22,19,19,29,29,29,29,29,29,29,29,29,29,29,29,28,28,32,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L17
ads-api-reports-fetcher,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/8b19e77ae24b4ffb3aaffe87af79fb96e6313828/setup.py#L8
ads-config,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,7,7,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L24
bigquery,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,49,48,48,48,63,63,63,63,62,62,61,61,61,61,61,61,61,61,61,61,61,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L3
bq,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,39,39,39,39,52,53,55,55,55,55,55,55,55,55,55,55,55,54,53,53,53,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L88
bq.dataset,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,11,11,11,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L21
bq.dump-schema,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L107
bq.project,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,19,19,20,18,18,18,18,17,17,17,17,17,17,17,17,17,17,15,15,15,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L20
bq.table-template,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L102
bq_dataset,repo,README.md,-,10,10,10,10,10,10,10,10,10,10,10,12,12,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/8b19e77ae24b4ffb3aaffe87af79fb96e6313828/runner/writer.py#L115
bq_project,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/8b19e77ae24b4ffb3aaffe87af79fb96e6313828/runner/post_processor.py#L26
client_id,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/src/lib/api-client.ts#L42
client_secret,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/src/lib/api-client.ts#L43
csv,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,80,82,82,82,80,80,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L31
csv.destination-folder,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L19
customer_id,repo,README.md,-,12,12,12,12,12,12,13,13,13,13,13,32,32,33,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/8b19e77ae24b4ffb3aaffe87af79fb96e6313828/tests/unit/test_query_editor.py#L13
date_iso,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/cli_utils.py#L7
developer_token,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/src/lib/api-client.ts#L44
end_date,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,9,9,11,11,-,-,-,8,7,7,7,5,3,3,2,4,4,3,3,3,3,3,3,3,3,3,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L23
fetch-reports,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/setup.py#L33
gaarf,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,20,20,20,24,25,25,25,23,26,26,26,26,24,24,24,24,27,29,29,30,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L2
gaarf-bq,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,5,5,5,5,5,5,5,5,5,7,7,7,7,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/setup.py#L36
gaarf-postprocess,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/acae30156ee7e4dd6243289f86e6ebe1ac2361f8/py/setup.py#L36
google-ads.yaml,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,11,11,12,12,12,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner/fetcher.py#L97
google_ads_queries,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,-,-,-,-,-,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/94c42d198520b5f395a4e5a1fc948c040ef2ba3f/py/README.md#L86
html_node,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L218
login_customer_id,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,12,12,14,14,14,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/src/lib/api-client.ts#L49
macro.,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,0,0,0,0,0,0,0,0,0,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/092474ff1d061bb44463c0279469d90caf2e0371/py/gaarf/bq_executor.py#L52
macro.end_date,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L23
macro.start_date,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L22
output,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,50,50,50,49,46,44,45,45,45,45,45,45,45,45,45,45,45,45,44,44,45,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L18
post-process-queries,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/setup.py#L34
post_processor.py,repo,README.md,-,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,code_element is a file name
project,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,41,42,42,39,39,39,39,39,39,39,39,39,39,39,39,42,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L96
refresh_token,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/src/lib/api-client.ts#L50
runner.py,repo,README.md,-,1,1,1,1,1,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,code_element is a file name
sql,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,30,30,30,28,28,28,30,30,30,30,30,30,26,26,26,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_writer.py#L71
sql.,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/88f723d92e23e5ae2d74cc6c2d4e878ed6f32b23/js/README.md#L53
sql.end_date,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,4,4,4,4,4,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f6723000919e9bd48ab693808f1736acc9a4edbf/py/gaarf/fetcher.py#L68
sql.start_date,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,4,4,4,4,4,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f6723000919e9bd48ab693808f1736acc9a4edbf/py/gaarf/fetcher.py#L67
start_date,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,9,9,11,11,-,-,-,8,7,7,7,5,3,3,2,4,4,3,3,3,3,3,3,3,3,3,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf_cli.py#L22
target,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,33,34,34,37,37,37,37,41,41,41,41,41,41,41,41,41,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf/bq_executor.py#L24
{dataset},repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf/io/writer.py#L103
{script},repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L105
