code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
CONDITIONS,repo,README.md,.,4,4,4,4,4,4,4,4,4,4,45,59,59,61,81,81,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
Collections.singletonList(mSection),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L89
Content,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,51,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L24
HoverMenu,repo,README.md,.,-,-,-,-,-,-,23,23,23,23,23,31,31,31,83,83,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenuService.java#L23
HoverMenuAdapter,repo,README.md,.,-,-,-,-,-,-,20,20,20,20,20,28,28,32,0,0,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/DemoHoverMenuService.java#L25
HoverMenuBuilder,repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,10,10,10,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hover/src/main/java/io/mattcarroll/hover/defaulthovermenu/window/HoverMenuService.java#L29
HoverMenuService,repo,README.md,.,-,-,-,-,-,-,5,5,5,5,5,6,6,9,38,38,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenuService.java#L25
HoverMenuView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L32
HoverView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,78,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenuService.java#L24
ID,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L33
IS,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,80,80,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L11
ImageView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/res/layout/view_content_introduction.xml#L18
ImageView(mContext),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L90
KIND,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,79,79,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
LICENSE,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,44,58,58,60,80,80,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L8
List<Section>,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L88
List<String>,repo,README.md,.,-,-,-,-,-,-,1,1,1,1,1,2,2,2,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/DemoHoverMenuAdapter.java#L52
NavigatorContent,repo,README.md,.,-,-,-,-,-,-,18,18,18,18,18,42,42,47,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/placeholder/PlaceholderNavigatorContent.java#L27
OF,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,44,58,58,60,81,81,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
OR,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,44,58,58,60,80,80,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
OS,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/HoverView.java#L346
Section,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,74,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L32
"SectionId(""1"")",repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L83
Service,repo,README.md,.,-,-,-,-,-,-,7,7,7,7,7,9,9,9,15,15,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/appstate/AppStateTracker.java#L32
SingleSectionHoverMenu(@NonNull Context context),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L79
View,repo,README.md,.,-,-,-,-,-,-,139,139,139,139,139,175,175,190,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/res/layout/view_content_introduction.xml#L8
WARRANTIES,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,79,79,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
WITHOUT,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,79,79,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
WindowManager,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/window/WindowViewController.java#L24
WindowViewController,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/window/WindowViewController.java#L29
XML,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/TabSelectorView.java#L32
android:id,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/res/layout/activity_main.xml#L3
android:layout_height,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,66,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/res/layout/content_non_fullscreen.xml#L5
android:layout_width,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,66,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/res/layout/content_non_fullscreen.xml#L4
collapsed,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/MenuThenNoMenuHoverMenuService.java#L91
createForWindow,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/window/HoverMenuService.java#L110
createHoverMenuAdapter(),repo,README.md,.,-,-,-,-,-,-,3,3,3,3,3,3,3,4,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/DemoHoverMenuService.java#L60
createScreen(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L85
createTabView(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L46
equals(mSection.getId(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L123
expanded,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/HoverViewStateExpanded.java#L32
getId(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L65
getNavigatorContent(int position),repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,1,1,2,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hover/src/main/java/io/mattcarroll/hover/HoverMenuAdapter.java#L55
getSection(@NonNull SectionId sectionId),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L82
getSection(int index),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L76
getSectionCount(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L70
getSections(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L88
getSystemService(Context.WINDOW_SERVICE),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/window/HoverMenuService.java#L112
getTabCount(),repo,README.md,.,-,-,-,-,-,-,3,3,3,3,3,4,4,5,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/DemoHoverMenuAdapter.java#L73
getTabId(int position),repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,2,2,3,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/DemoHoverMenuAdapter.java#L96
getTabView(int position),repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,1,1,2,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hover/src/main/java/io/mattcarroll/hover/HoverMenuAdapter.java#L48
hover:dockPosition,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/res/layout/activity_hover_menu.xml#L9
hover:dockSide,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/res/layout/activity_hover_menu.xml#L8
hoverView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenuService.java#L55
hoverView.collapse(),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenuService.java#L56
imageView,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L90
imageView.setImageResource(R.drawable.tab_background),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L91
imageView.setScaleType(ImageView.ScaleType.CENTER_INSIDE),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/SingleSectionNotificationHoverMenuService.java#L92
mContext,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,45,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L31
mSection,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoHoverMenu.java#L39
