code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
maximum(tol**2 * (b @ b),repo,README.md,-,1,1,1,1,1,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L60
"maximum(tol**2 * bs, atol**2)",repo,README.md,1,-,-,-,-,-,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/82ebc739d0d9324ff2968a644260f1baf993f994/tree_math/integration_test.py#L62
p.conj(),repo,README.md,1,1,1,1,1,1,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L69
tm.unwrap(A),repo,README.md,-,1,1,1,1,1,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L57
tm.unwrap(M),repo,README.md,-,1,1,1,1,1,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L58
tree_math,repo,README.md,21,22,22,22,27,32,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/numpy.py#L19
tree_math.Vector,repo,README.md,8,8,8,8,3,3,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/_src/vector_test.py#L39
tree_math.numpy,repo,README.md,4,4,4,4,4,4,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/numpy.py#L14
unwrap,repo,README.md,8,6,6,6,6,6,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/_src/func_wrappers_test.py#L48
wrap,repo,README.md,16,16,16,16,16,16,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L32
x_final,repo,README.md,2,2,2,2,2,2,https://github.com/google/tree-math/blob/1bb23a71a97536949c239d123b6124b3796b1441/README.md,https://github.com/google/tree-math/blob/0af9679125c13cc38dab5159bc8413ed79465344/tree_math/integration_test.py#L83
