code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
ilqr,repo,README.md,7,7,7,7,8,8,8,8,8,8,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L413
jax.grad,repo,README.md,7,7,7,7,7,7,7,7,7,7,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L156
jax.jit,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/tests/optimizers_test.py#L67
jax.numpy,repo,README.md,4,4,4,4,4,4,4,4,4,4,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L38
jax.vmap,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L73
n,repo,README.md,121,121,121,121,126,129,129,129,129,129,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L46
numpy,repo,README.md,38,39,39,39,39,39,39,39,39,39,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L67
objective,repo,README.md,15,15,15,15,17,17,17,17,17,17,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L204
random_shooting,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L821
range(T),repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/tests/optimizers_test.py#L190
scipy_minimize,repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/optimizers.py#L621
tvlqr,repo,README.md,9,9,9,9,9,9,9,9,9,9,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L110
x0,repo,README.md,76,76,76,76,84,84,84,84,84,84,https://github.com/google/trajax/blob/73168d126853b251b5fc0f8d11ff61733d6d6913/README.md,https://github.com/google/trajax/blob/a14d248294e9c8f74f10a10e787af24ac6be1ad7/trajax/tvlqr.py#L20
