code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
compare_gan_run_one_task,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/setup.py#L36
continuous_eval,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/runner_lib.py#L289
dataset_root,repo,README.md,5,5,6,6,6,6,6,6,6,6,6,7,7,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/datasets_test.py#L37
eval_after_train,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/runner_lib_test.py#L170
eval_every_steps,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/runner_lib_test.py#L176
generate_tasks_lib,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/bin/compare_gan_generate_tasks#L29
generate_tasks_lib.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,code_element is a file name
main.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,code_element is a file name
options.batch_size,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/example_configs/sndcgan_celebahq128.gin#L6
prd_score,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/19922d3004b675c1a49c4d7515c06f6f75acdcc8/compare_gan/metrics/prd_score_test.py#L23
task_num,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/bin/compare_gan_run_test.sh#L20
tfhub_models,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,-,-,-,0,0,0,https://github.com/google/compare_gan/blob/068edab245914e29fd23e7c6deffae01efc5bbf3/README.md,https://github.com/google/compare_gan/blob/51029dc22bc0d9ae95d277df6cca012afcf905a1/compare_gan/src/tfhub_models.ipynb#L84
