code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,doc_link,source_link
\,repo,README.md,.,30,30,30,30,32,32,32,32,32,32,32,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L278
arg(source),repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/src/cli_arguments.dart#L173
args,repo,README.md,.,27,27,27,27,27,27,27,27,29,29,42,44,44,47,47,47,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util.dart#L31
capture((_),repo,README.md,.,20,42,53,53,53,55,55,55,55,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,61,63,70,70,70,71,71,71,71,71,82,82,84,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L316
cli_script,repo,README.md,.,5,6,7,8,10,13,14,14,15,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util.dart#L20
"contains(""needle"")",repo,README.md,.,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L346
dart:io,repo,README.md,.,-,-,9,9,11,14,16,16,19,19,19,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,22,30,30,30,30,30,30,30,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util.dart#L15
executableAndArgs,repo,README.md,.,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/cli_arguments_test.dart#L271
exitCode,repo,README.md,.,55,55,103,104,106,106,106,108,108,114,115,115,115,115,115,115,115,115,115,115,115,115,116,116,116,116,119,119,119,119,119,119,119,120,120,120,120,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util.dart#L72
glob,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,64,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/ls_test.dart#L15
grep,repo,README.md,.,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,12,12,12,12,12,12,12,19,19,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L129
grep(),repo,README.md,.,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/CHANGELOG.md#L30
if,repo,README.md,.,46,49,66,71,83,85,104,108,111,112,120,127,127,127,127,127,127,127,127,127,137,137,142,142,143,160,165,165,169,169,177,178,178,178,180,183,190,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L142
"lines(""find . -type f -maxdepth 1"")",repo,README.md,.,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L344
main(),repo,README.md,.,5,6,7,9,11,14,15,15,16,16,16,16,17,17,17,17,17,17,17,17,18,18,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/entangled_controllers_test.dart#L22
"output(""cat"", args: [file])",repo,README.md,.,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L345
package:cli_script,repo,README.md,.,4,5,6,6,8,11,12,12,13,14,14,14,15,15,15,15,15,15,15,15,16,16,16,16,16,17,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/entangled_controllers_test.dart#L20
"print(""There are ${await pipeline.stdout.text} Natalies"")",repo,README.md,.,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L318
print(),repo,README.md,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/CHANGELOG.md#L55
print(file),repo,README.md,.,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L346
"read(""names.txt"")",repo,README.md,.,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L315
replaceMapped,repo,README.md,.,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,10,10,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L245
stderr,repo,README.md,.,41,68,87,93,94,94,94,94,94,98,103,103,103,103,103,103,103,103,103,103,104,105,108,108,108,121,144,144,144,146,146,146,146,147,153,153,158,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L318
stdin,repo,README.md,.,31,34,78,78,90,90,90,90,90,90,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,109,109,109,109,109,112,112,112,116,116,116,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L423
stdout,repo,README.md,.,41,60,87,87,94,94,94,99,101,101,105,105,105,105,105,105,105,105,105,105,107,107,107,107,128,145,167,167,167,167,167,168,168,169,173,173,182,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/sub_process_test.dart#L55
success,repo,README.md,.,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/sub_process_test.dart#L32
wrapMain,repo,README.md,.,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L68
wrapMain((),repo,README.md,.,-,-,-,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L314
wrapMain(),repo,README.md,.,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/CHANGELOG.md#L69
"write(""needles.txt"")",repo,README.md,.,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/lib/cli_script.dart#L348
{},repo,README.md,.,11,12,12,12,12,12,16,16,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,23,41,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/util/entangled_controllers_test.dart#L34
|,repo,README.md,.,-,-,49,49,52,55,55,55,55,55,56,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,86,86,86,86,86,86,https://github.com/google/dart_cli_script/blob/d13cd04dc0ae26fa4b275390e24ebb53f7df1c9f/README.md,https://github.com/google/dart_cli_script/blob/a59a03e7d9108034a1cc65536f26b389f351d6ef/test/transform_test.dart#L295
