code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,doc_link,source_link
package:flutter_lints,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/bdcb962e3d2bda31a0e6dadb58b670aa633046e9/CHANGELOG.md#L3
package:lints,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/bdcb962e3d2bda31a0e6dadb58b670aa633046e9/CHANGELOG.md#L3
package:pedantic,repo,README.md,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/bdcb962e3d2bda31a0e6dadb58b670aa633046e9/lib/analysis_options.yaml#L10
package:pedantic/pedantic.dart,repo,README.md,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/example/example.dart#L1
pedantic,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/pubspec.yaml#L1
prefer_single_quotes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/lib/analysis_options.1.9.0.yaml#L41
print,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/CONTRIBUTING.md#L1
pubspec.yaml,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,code_element is a file name
throw_in_finally,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/lib/analysis_options.1.1.0.yaml#L20
void,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,0,0,0,3,5,5,5,5,5,5,5,5,5,5,5,5,-,-,https://github.com/google/pedantic/blob/5dc836cfd56eddb58e4ff388f64ec74e13fdfc9e/README.md,https://github.com/google/pedantic/blob/66f2f6c27581c7936482e83be80b27be2719901c/lib/pedantic.dart#L14
