code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
OpenLocationCode_macOS,repo,README.md,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCode.xcodeproj/xcshareddata/xcschemes/OpenLocationCode_macOS.xcscheme#L19
OpenLocationCode_tvOS,repo,README.md,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCode.xcodeproj/xcshareddata/xcschemes/OpenLocationCode_tvOS.xcscheme#L19
OpenLocationCode_watchOS,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCode.xcodeproj/xcshareddata/xcschemes/OpenLocationCode_watchOS.xcscheme#L19
code10Digit,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L41
codeLength,repo,README.md,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,65,65,65,65,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L43
codeLength:10,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L45
"decode(""849VCWC8+Q48"")",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L48
encodeLatitude:37,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L38
fullCode,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L60
iOS,repo,README.md,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCodeFramework.podspec#L15
latitude:37,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L54
longitudeCenter,repo,README.md,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L49
macOS,repo,README.md,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCodeFramework.podspec#L15
osx_image,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/.travis.yml#L4
"print(""Center is \(coord.latitudeCenter)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L49
"print(""Open Location Code: \(code)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L37
"print(""Open Location Code: \(code10Digit)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L44
"print(""Recovered full code: \(fullCode)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L63
"print(""Short code: \(shortCode)",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L56
recoverNearest,repo,README.md,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/test_data/shortCodeTests.csv#L17
recoverNearestWithShortcode,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L59
recoveredCode,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L59
referenceLatitude,repo,README.md,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L61
referenceLatitude:37,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L60
referenceLongitude,repo,README.md,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L62
shortCode,repo,README.md,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeTests/OpenLocationCodeSwiftExampleTests.swift#L53
shortenCode,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/Tests/OpenLocationCodeObjCTests/OpenLocationCodeObjCExampleTests.m#L53
tvOS,repo,README.md,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCodeFramework.podspec#L15
watchOS,repo,README.md,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/open-location-code-swift/blob/ae6927f02c1a73012a63541e77942a36d9f53abf/README.md,https://github.com/google/open-location-code-swift/blob/5621ac8202650f5081383d8c500992857a3a43b0/OpenLocationCodeFramework.podspec#L16
