code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,doc_link,source_link
glfwGetCursorPos,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L972
glfwGetFramebufferSize,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L968
glfwGetJoystickAxes,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L973
glfwGetJoystickButtons,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L974
glfwGetMonitorPhysicalSize,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L964
glfwGetMonitorPos,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L963
glfwGetMonitors,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L962
glfwGetVersion,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L961
glfwGetVideoModes,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L965
glfwGetWindowFrameSize,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L969
glfwGetWindowPos,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L966
glfwGetWindowSize,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L967
glfwGetWindowUserPointer,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L971
glfwSetWindowUserPointer,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L970
glfwSwapBuffers,repo,README.md,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/manual_bindings.dart#L70
glfwSwapBuffersAsync,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/manual_bindings.dart#L75
glfwWindowShouldClose,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/generated/glfw_native_functions.dart#L51
glfwWindowShouldClose(window),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/generated/glfw_bindings.cc#L223
glfwWindowShouldCloseAsBool(GLFWwindow window),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/glfw.dart#L37
int,repo,README.md,479,479,479,479,479,502,502,502,502,502,505,505,505,505,515,515,515,552,552,503,503,503,503,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L30
major,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/manual_bindings.dart#L10
minor,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/manual_bindings.dart#L11
pointer,repo,README.md,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L900
rev,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/lib/src/manual_bindings.dart#L12
xpos,repo,README.md,29,29,29,29,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L171
ypos,repo,README.md,29,29,29,29,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/dart-glfw/blob/c413b2f8bda7b2323a544db11ed018a907e5ef67/README.md,https://github.com/google/dart-glfw/blob/180279de4293e37f8a60c6e58892dd3053b327ea/tools/glfw_generator.dart#L172
