code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
GCE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13,13,13,13,14,14,14,14,14,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L131
GCP,repo,README.md,12,12,12,12,12,12,12,13,13,13,14,14,14,14,15,15,27,27,27,27,27,27,27,27,28,28,28,28,28,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L15
GCS,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,8,8,8,8,8,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/services#L2039
GKE,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/compute_instances#L398
INFO,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L345
JSON,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/services#L1868
KMS,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L192
LICENSE,repo,README.md,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L7
NOTE,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/compute_instances#L398
OS,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/services#L1473
PubSub,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L172
SA,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_unit.py#L113
SDK,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/services#L264
TTL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L314
VM,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test/services#L1123
WARNING,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L343
__main__,repo,README.md,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/test_acceptance.py#L105
client_id,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L319
client_secret,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L320
folder_to_save_results,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L281
gcloud_profile_path,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L298
google-api-python-client==2.9.0,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/requirements.txt#L2
refresh_token,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L319
requirements.txt,repo,README.md,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/Dockerfile#L20
sa_key_path,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L292
sa_scanner,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/Dockerfile#L18
token_uri,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/README.md,https://github.com/google/gcp_scanner/blob/9f95d12ee49d23cb0233cd32bf18c771ee11554f/scanner.py#L320
