code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,doc_link,source_link
DBQLObjTbl,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L349
DBS_PORT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/kokoro/gcp_ubuntu/kokoro_build.sh#L118
DiskSpaceV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L112
ExtractionTool,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/scripts/run-td-extract.sh#L110
ExtractionTool_deploy,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/scripts/run-td-extract.sh#L108
IS,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,96,97,97,98,98,99,104,104,104,104,104,104,104,104,104,104,107,107,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,111,111,116,116,190,190,190,190,190,198,198,198,198,200,200,206,206,206,206,207,213,217,217,217,217,244,244,244,244,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
JDBC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/db/AvroHelperTest.java#L194
KIND,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,83,83,84,84,85,90,90,90,90,90,90,90,90,90,90,93,93,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,96,96,101,101,175,175,175,175,175,183,183,183,183,185,185,191,191,191,191,192,198,202,202,202,202,227,227,227,227,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
LICENSE,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,66,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,75,75,76,76,77,82,82,82,82,82,82,82,82,82,82,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,87,87,92,92,166,166,166,166,166,174,174,174,174,176,176,182,182,182,182,183,189,193,193,193,193,228,228,228,228,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/re2j-1.6/LICENSE#L2
LLC,repo,README.md,23,23,23,26,26,26,30,36,36,36,36,38,38,45,45,47,48,49,50,52,53,53,54,54,54,55,56,58,58,58,58,58,58,59,60,60,60,62,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,66,66,67,67,68,72,72,72,72,72,72,72,72,72,72,75,75,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,77,77,82,82,156,156,156,156,156,164,164,164,164,166,166,172,172,172,172,173,179,183,183,183,183,184,184,184,184,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/BUILD#L1
OF,repo,README.md,26,26,26,29,29,29,33,39,39,39,39,41,41,48,48,50,51,52,53,55,56,56,57,57,57,58,59,61,61,61,61,61,61,62,63,63,63,65,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,137,138,138,139,139,140,145,145,145,145,145,145,145,145,145,145,148,148,152,152,152,152,153,153,153,153,153,153,153,153,153,153,153,154,154,159,159,233,233,233,233,233,241,241,241,241,243,243,249,249,249,249,250,256,260,260,260,260,302,302,302,302,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
OR,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,147,147,147,147,147,147,147,148,148,148,148,148,148,148,148,148,149,150,150,151,151,152,157,157,157,157,157,157,157,157,157,157,160,160,167,167,167,167,168,168,168,168,168,168,168,168,168,168,168,169,169,174,174,248,248,248,248,248,256,256,256,256,258,258,264,264,264,264,265,271,275,275,275,275,312,312,312,312,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L16
PartitioningConstraintsV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L328
QryLog,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/76912d49d7f021bb49cc37b3c0d89beb4bd39564/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L132
QryLogObjectsV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/cc882de6957d7c7f1f2285797551aff5f2dbb2ae/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L345
QryLogSQLV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L261
QryLogV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L138
RoleMembersV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L103
TableSizeV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L44
TableTextV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/src/javatests/com/google/cloud/bigquery/dwhassessment/extractiontool/faketd/teradata_tables.sql#L372
WARRANTIES,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,91,91,92,92,93,98,98,98,98,98,98,98,98,98,98,101,101,102,102,102,102,103,103,103,103,103,103,103,103,103,103,103,104,104,109,109,183,183,183,183,183,191,191,191,191,193,193,199,199,199,199,200,206,210,210,210,210,235,235,235,235,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L16
WITHOUT,repo,README.md,25,25,25,28,28,28,32,38,38,38,38,40,40,47,47,49,50,51,52,54,55,55,56,56,56,57,58,60,60,60,60,60,60,61,62,62,62,64,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,83,83,84,84,85,90,90,90,90,90,90,90,90,90,90,93,93,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95,96,96,101,101,175,175,175,175,175,183,183,183,183,185,185,191,191,191,191,192,198,202,202,202,202,227,227,227,227,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/README.md,https://github.com/google/dwh-assessment-extraction-tool/blob/3598607eb15d6d2cd3f29bcf6fb74613fdb9a4f3/third_party/slf4j-jdk14-1.7.32/LICENSE#L15
