code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
OS,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,0,0,0,0,0,0,688,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/pb/metrics_proto/metrics_constants.proto#L34
PST,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,0,0,0,0,1,1,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/js/context.js#L449
USB,repo,README.md,.,.,.,.,.,.,.,.,0,0,0,3,3,3,35,35,35,35,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wakeupreason/wakeup_reason.go#L53
UTC,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,15,15,15,15,17,17,34,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/scripts/kernel_trace.py#L2
WARRANTIES,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
WITHOUT,repo,README.md,.,.,.,.,.,.,.,.,40,40,40,94,94,94,104,108,108,117,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L11
bugreport.txt,repo,README.md,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,4,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/scripts/historian.py#L28
historian,repo,README.md,.,.,.,.,.,.,.,.,516,519,519,2273,2273,2271,2370,2573,2575,3455,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/wearable/wearable_test.go#L22
local_checkin_delta,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,2,2,2,2,2,2,2,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/cmd/checkin-delta/local_checkin_delta.go#L15
local_checkin_parse,repo,README.md,.,.,.,.,.,.,.,.,0,0,0,1,1,1,1,1,1,2,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/cmd/checkin-parse/local_checkin_parse.go#L15
optional_millivolts,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/powermonitor/power_monitor.go#L41
optional_volts,repo,README.md,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/powermonitor/power_monitor.go#L40
regen_proto.sh,repo,README.md,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,code_element is a file name
totalTime,repo,README.md,.,.,.,.,.,.,.,.,3,3,3,3,3,3,5,5,5,5,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/README.md,https://github.com/google/battery-historian/blob/d2356ba4fd5f69a631fdf766b2f23494b50f6744/parseutils/parseutils.go#L44
