code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,doc_link,source_link
GDB,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/examples/hifive-riscv-32/Makefile#L46
HOST,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L200
IS,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L11
KIND,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
LAYOUT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L209
LICENSE,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,37,37,37,37,38,37,42,42,42,42,46,46,46,47,48,52,52,52,59,59,59,62,62,62,62,62,62,62,62,66,75,77,77,77,83,84,84,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L8
LLC,repo,README.md,-,-,-,-,-,-,12,12,12,12,17,17,17,17,17,17,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,29,29,29,29,29,29,29,29,29,33,33,34,34,34,34,35,34,39,39,39,39,43,43,37,38,39,43,43,43,50,50,50,50,50,50,50,50,50,50,50,54,63,65,65,65,71,72,72,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L2
OF,repo,README.md,-,-,-,-,-,-,15,15,15,15,20,20,20,20,20,20,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,36,36,37,37,37,37,38,37,42,42,42,42,46,46,46,47,48,52,52,52,59,59,59,62,62,62,62,62,62,62,62,66,75,77,77,77,83,84,84,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
OPTIMIZATION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,7,7,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L132
OR,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
PROJECT,repo,README.md,-,-,-,-,-,-,-,-,-,-,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,16,16,16,16,16,17,17,17,17,17,17,17,23,23,25,25,25,25,25,25,31,31,31,31,31,31,31,31,31,31,31,31,35,35,35,35,35,35,35,35,35,35,35,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L58
RAM,repo,README.md,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,13,13,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/startup/riscv64.S#L21
REPO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L202
RISC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/docs/01-setting-up-new-project.md#L60
ROOT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L203
SHELL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L201
SIZE,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L211
STACK,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/0d2b90f797337520cbbb8d432801e53dccb2b54c/shell/Makefile#L137
STARTUP,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L50
TOOLCHAIN,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L207
UART,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,10,10,10,10,8,8,8,8,8,8,8,8,10,10,10,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/lib/printf/printf.h#L40
USER,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/shell.h#L47
VERSION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L201
WARRANTIES,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
WITHOUT,repo,README.md,-,-,-,-,-,-,14,14,14,14,19,19,19,19,19,19,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,35,35,36,36,36,36,37,36,41,41,41,41,45,45,45,46,47,51,51,51,58,58,58,61,61,61,61,61,61,61,61,65,74,76,76,76,82,83,83,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/shell/startup/riscv64.S#L12
break,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/shell.c#L175
continue,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/shell.c#L219
examples/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/scripts/clean-examples#L26
examples/qemu-riscv-64/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/docs/00-setup-examples.md#L148
gdb,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/Makefile#L191
hello,repo,README.md,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/examples/qemu-riscv-64/hello.cpp#L27
hello.c,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,code_element is a file name
help,repo,README.md,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/shell/shell.c#L180
localhost:1234,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/examples/qemu-riscv-64/Makefile#L36
openocd,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/60f9f92f4ab4a6c608eab157c90cef07444f7699/examples/hifive-riscv-32/Makefile#L35
printf_examples,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,-,-,-,-,-,-,-,-,https://github.com/google/early-bringup-tool/blob/23670951ec03056b79591bf5c57578f8477f1fdf/README.md,https://github.com/google/early-bringup-tool/blob/86209b260738e74bb3249bb00cbad27e53ee02f5/shell/shell.c#L370
