code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
LLC,repo,README.md,62,62,62,62,61,62,64,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L2
OF,repo,README.md,65,67,67,67,66,67,69,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
OR,repo,README.md,64,66,66,66,65,66,68,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
SNAPSHOT,repo,README.md,-,-,-,2,2,2,2,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/build.gradle#L16
TcsMain,repo,README.md,-,-,-,6,6,6,6,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/main/src/test/java/com/google/tsunami/callbackserver/main/TcsMainTest.java#L24
WARRANTIES,repo,README.md,64,66,66,66,65,66,68,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
WITHOUT,repo,README.md,64,66,66,66,65,66,68,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/storage/src/test/java/com/google/tsunami/callbackserver/storage/RedisInteractionStoreTest.java#L12
cleanup_interval_secs,repo,README.md,-,-,-,9,9,9,9,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L7
external_ip,repo,README.md,-,-,-,7,7,7,7,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L3
in_memory,repo,README.md,-,-,-,6,6,8,8,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L5
interaction_ttl_secs,repo,README.md,-,-,-,10,10,12,12,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L6
shadowJar,repo,README.md,-,-,-,2,2,2,2,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/main/build.gradle#L26
tcs_config,repo,README.md,-,-,-,2,2,2,2,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/main/src/main/java/com/google/tsunami/callbackserver/main/TcsCliOptions.java#L29
worker_pool_size,repo,README.md,-,-,-,11,11,11,11,https://github.com/google/tsunami-security-scanner-callback-server/blob/e6c360ac77339741e6751cefcfe50175c3966689/README.md,https://github.com/google/tsunami-security-scanner-callback-server/blob/38f015a3b9ee6ec9f6f018cdade42a6d537e82ef/tcs_config.yaml#L11
