code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
TestSafeBrowser,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/safebrowser_system_test.go#L146
UNWANTED_SOFTWARE,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.proto#L256
URL,repo,README.md,60,60,60,60,60,60,60,60,72,72,72,72,72,72,72,72,73,73,73,73,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,96,96,96,96,96,86,86,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/vendor/github.com/golang/protobuf/proto/text_parser.go#L466
URL_EXPRESSION,repo,README.md,11,11,11,11,11,11,11,11,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/7c1238f7a92c5fdf1f7be0a217c66eaeff2c4665/internal/safebrowsing_proto/safebrowsing.proto#L337
cmd,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,9,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/generate.sh#L18
platformTypes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.pb.go#L217
safebrowsing,repo,README.md,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,81,81,81,81,81,82,81,81,81,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,80,80,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/urls_test.go#L15
sblookup,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/cmd/sblookup/main.go#L15
sbserver,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/generate.sh#L18
threatEntries,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.pb.go#L221
threatEntryTypes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.pb.go#L219
threatInfo,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.pb.go#L370
threatMatches,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/cmd/sbserver/main.go#L69
threatTypes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,https://github.com/google/safebrowsing/blob/456c2058968cdccc138b8ec0b27a76114fe82ce7/README.md,https://github.com/google/safebrowsing/blob/bbf0d20d26b32d99fd21664677fe31ee9f0f66e3/internal/safebrowsing_proto/safebrowsing.pb.go#L215
