code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,rev_146,rev_147,rev_148,rev_149,rev_150,rev_151,rev_152,rev_153,rev_154,rev_155,rev_156,rev_157,rev_158,rev_159,rev_160,rev_161,rev_162,rev_163,rev_164,rev_165,rev_166,rev_167,rev_168,rev_169,rev_170,rev_171,rev_172,rev_173,rev_174,rev_175,rev_176,rev_177,doc_link,source_link
BuiltSetMultimap.toMap,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/lib/built_collection.dart#L40
Iterable,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,237,238,238,238,220,239,239,239,239,239,239,239,239,241,241,241,241,241,241,241,241,241,251,262,262,262,262,262,262,262,262,262,265,266,275,275,275,275,275,275,275,275,275,275,275,275,283,285,285,285,285,287,287,287,287,287,287,288,288,288,288,290,292,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,303,301,299,297,297,297,297,297,297,297,303,303,303,303,303,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/built_set_multimap_test.dart#L98
List,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,106,106,106,106,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,110,110,110,110,110,118,118,122,122,122,122,122,122,122,122,122,122,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125,135,135,129,129,125,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,135,135,146,147,147,147,147,147,147,147,147,147,148,148,152,152,152,151,151,151,151,151,151,151,151,151,155,156,156,156,156,157,157,157,157,157,157,157,157,157,157,159,159,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,157,157,157,157,157,157,158,158,158,164,164,164,164,164,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/set_multimap_builder_test.dart#L44
List<dynamic>,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/aa2c178b9c27e265e5c88afa4efab13daeccb887/lib/built_collection.dart#L84
Map,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,130,130,130,130,130,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,132,132,132,132,132,132,132,144,144,144,144,144,144,144,144,144,144,144,144,144,144,146,146,146,146,146,146,146,146,146,146,146,146,146,149,149,149,154,154,154,157,157,157,157,154,157,157,155,155,155,155,155,157,157,157,157,157,157,157,157,163,163,175,181,181,181,181,181,181,181,181,181,182,182,183,183,183,183,183,183,183,183,183,183,183,183,187,187,187,176,176,178,178,178,178,178,178,178,178,178,179,180,181,181,181,181,181,181,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,178,178,178,178,178,178,178,178,178,178,178,178,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/set_multimap_builder_test.dart#L63
SDK,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/pubspec.yaml#L4
Set,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,76,76,76,76,76,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,82,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,90,90,91,91,93,93,93,93,91,93,93,91,91,91,91,91,91,91,91,91,91,91,91,91,97,97,96,97,97,97,98,98,98,98,98,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,102,103,103,99,99,100,100,100,100,100,100,100,100,101,101,101,103,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,113,113,113,113,113,113,113,113,114,114,114,114,114,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/built_set_multimap_test.dart#L619
built_collection,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,81,81,81,81,81,81,81,81,82,82,82,83,83,73,73,73,73,78,78,78,78,78,78,78,78,78,78,78,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,89,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,97,97,97,97,97,97,96,96,93,91,90,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,62,62,63,63,63,63,63,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/set_multimap_builder_test.dart#L5
hashCode,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,92,92,92,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,103,103,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/built_set_multimap_test.dart#L192
null,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,152,152,152,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,150,150,147,147,147,147,147,147,147,147,147,147,147,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,150,158,159,159,163,163,163,165,161,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,162,178,179,179,179,180,180,180,180,180,181,181,181,181,181,185,185,185,185,185,185,185,185,185,185,185,185,166,166,166,166,166,166,166,166,166,166,166,166,162,158,158,158,157,157,157,155,156,156,155,155,155,155,155,155,155,154,154,155,155,199,206,228,238,250,-,-,-,-,-,-,-,-,-,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/1f6ad71e6f378562b4fab3bae64a3685e8fb4c36/tool/presubmit#L8
toBuilder,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,146,146,148,148,148,148,148,150,150,150,150,150,150,150,150,150,150,162,162,162,162,163,163,163,163,163,163,163,163,163,163,165,165,165,165,165,165,165,165,165,165,164,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,https://github.com/google/built_collection.dart/blob/b769818812f860df495dbc8f746c664448964718/README.md,https://github.com/google/built_collection.dart/blob/f5b4b2ab2f9eec27d5710192449708237945a941/test/set_multimap/set_multimap_builder_test.dart#L114
