code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,doc_link,source_link
LLVM,repo,README.md,77,77,77,77,80,80,80,80,80,80,80,80,80,80,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/third_party/llvm-diff/LICENSE#L2
OPTIONS,repo,README.md,4,4,4,4,4,4,4,4,4,4,5,5,5,5,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L86
OUT_FILE,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/update-patch#L79
RELA,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/fixup_command.cc#L121
c__klp_diff,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch#L50
klp_dir,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,19,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L293
klp_patch,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/templates/livepatch.lds.tmpl#L22
llpatch,repo,README.md,16,16,16,16,16,16,16,16,16,16,21,22,36,44,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/templates/llpatch.h#L42
obj_patched_map,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch#L74
patch_file,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/llpatch-merge#L204
pwd,repo,README.md,9,9,9,9,8,8,8,8,8,8,11,10,10,10,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/README.md,https://github.com/google/LLpatch/blob/262113a1a47895f70c002c441de37ff25163655c/update-patch#L33
