code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,doc_link,source_link
LICENSE,repo,README.md,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L203
NOTICE,repo,README.md,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L114
OF,repo,README.md,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
OR,repo,README.md,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
RTB,repo,README.md,0,0,11,12,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,22,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,54,55,55,55,55,55,55,55,55,55,55,55,55,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/proposals/ua-rtb/README.md#L1
SCAUP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/confidential_storage.md#L39
TURTLEDOVE,repo,README.md,0,0,0,0,1,7,7,8,31,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,51,51,51,51,61,61,61,62,73,73,85,87,87,87,87,87,87,87,87,87,99,99,99,99,99,101,101,102,102,102,102,102,102,102,102,102,102,102,109,109,109,114,114,114,114,114,114,114,114,114,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/trust_techniques.md#L4
WARRANTIES,repo,README.md,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
WICG,repo,README.md,0,0,2,2,4,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,20,20,20,23,28,28,32,34,34,34,34,34,34,34,34,34,41,41,41,41,41,44,46,47,47,47,47,47,47,47,48,48,48,48,51,51,51,54,54,57,57,59,59,59,64,64,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/trust_techniques.md#L4
WITHOUT,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/76c032bae92e1345bbcc8fdea8978f0a3e010c97/LICENSE#L154
trust_techniques,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ads-privacy/blob/b3dc065fcf69075c753e844f440d6ae8eef4411f/README.md,https://github.com/google/ads-privacy/blob/c0a39b5b84c4654cbdcf087735fe4847422f73dc/trust-model/experiments.md#L7
