code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
"Expect(tst.re, tst.timeout)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1146
ExpectBatch,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L241
GenOptions,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L231
HostKeyCallback,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L361
"MustCompile(""router1>"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L746
MustCompile(`Login: `),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L303
MustCompile(`Password: `),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L304
NoCheck,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1006
SSH,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L74
Send,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L473
SendTimeout,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L883
"SpawnFake(b []Batcher, timeout time.Duration, opt ...Option)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect.go#L937
"SpawnFake(tst.srv, tst.timeout)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/3ee1e840338e9846880a5c1c33f071d97cca21be/expect_test.go#L1097
SpawnGeneric,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L231
"SpawnGeneric(opt *GenOptions, timeout time.Duration, opts ...Option)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect.go#L891
TestExpect,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1105
TestExpect(t *testing.T),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1106
VerboseWriter,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L587
close(resCh),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L219
conn.Close(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L173
e,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,186,186,186,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/testdata/menuloop.sh#L23
e.Close(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L716
e.Expect,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L712
e.Send,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L710
flag.Parse(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/examples/process/process.go#L25
func(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,62,62,62,62,67,67,67,67,67,67,67,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L134
glog.Exit(err),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/9db06cbbaed691242d13045e8e5f5037f72db9e7/examples/process/process.go#L31
main(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/examples/process/process.go#L24
make(chan error),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L218
resCh,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L218
ssh.InsecureIgnoreHostKey(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L361
sshClt,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L960
sshClt.Close(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L987
"telnetSpawn(addr string, timeout time.Duration, opts ...expect.Option)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/examples/newspawner/telnet.go#L50
tst.re.String(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/goexpect/blob/096e5d1cbd97c0f190c3aa5f0539315679c1c066/README.md,https://github.com/google/goexpect/blob/ab937bf7fd6f93d0b1adaef7bf038f31f61bc96c/expect_test.go#L1148
