code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,doc_link,source_link
ParsePatient,repo,README.md,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/d2b9302726f4b7a7199c41426962c0e1747e5d86/cc/google/fhir_examples/parse_patients.cc#L35
ParsePatients,repo,README.md,1,1,1,1,1,1,2,2,2,2,2,2,7,7,7,7,7,7,7,8,8,9,9,12,12,12,13,13,13,13,13,13,13,13,13,13,13,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/java/com/google/fhirexamples/ParsePatients.java#L35
ParsePatients.java,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/java/BUILD#L15
Patient.fhir.ndjson,repo,README.md,3,3,3,3,3,3,3,3,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/d14baa0b4dd9d5729786ecf2ec997ca0d494b7da/cc/validate_patients.cc#L52
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,9,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L24
SplitBundle,repo,README.md,2,2,2,2,2,2,2,2,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/d14baa0b4dd9d5729786ecf2ec997ca0d494b7da/generate-synthea.sh#L35
WORKSPACE,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L27
__Important:__,repo,README.md,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/3be0ab1219e3e954dd8f8b85303f1a816cbd4bfe/USERGUIDE.md#L19
"__Tensorflow does not yet support Bazel 1.X, so you need to use a 0.X version.  We recommend [0.29.1](https://github.com/bazelbuild/bazel/releases/tag/0.29.1), the latest 0.X release__",repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/3be0ab1219e3e954dd8f8b85303f1a816cbd4bfe/USERGUIDE.md#L17
bin,repo,README.md,8,8,8,8,8,8,9,10,11,11,11,11,14,17,17,17,17,17,17,17,17,20,20,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,33,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L1
bq,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_resource.sh#L23
build.gradle,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,code_element is a file name
fhir_examples,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,22,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/py/google/fhir_examples/validation_example.py#L19
generate-synthea.sh,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,code_element is a file name
generate_definitions_and_protos,repo,README.md,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/proto/google/fhir_examples/myprofile/README.md#L10
generate_protos,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/proto/google/fhir_examples/myprofile/README.md#L9
generate_protos_utils,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/proto/google/fhir_examples/myprofile/README.md#L8
run_queries,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-examples/blob/cb3e7e167a1b4a205bbbf79bb48fd3127f34e1a3/README.md,https://github.com/google/fhir-examples/blob/ba8e53d49ebf2700c6bd065e3ab550ae0091cad8/shell/upload_base_resources_to_bq.sh#L17
