code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,doc_link,source_link
GET,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,5,8,14,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,17,23,23,23,23,23,23,23,23,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/AllowedQueriesCheckerTest.java#L41
GitHub,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/CONTRIBUTING.md#L22
HAPI,repo,README.md,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,6,8,8,8,8,8,8,9,10,10,10,11,11,11,11,11,11,12,12,12,12,12,11,11,13,13,13,13,26,26,26,26,26,29,29,29,29,29,29,29,29,29,29,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/AccessCheckerFactory.java#L31
ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,3,3,3,4,4,4,4,4,4,6,6,6,6,6,6,6,7,8,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/interfaces/PatientFinder.java#L24
IDP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/resources/README.md#L12
JSON,repo,README.md,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/docker/README.md#L33
JWT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/BearerAuthorizationInterceptorTest.java#L33
KEYCLOAK_PASSWORD,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/docker/keycloak/keycloak_setup.sh#L31
KEYCLOAK_USER,repo,README.md,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/docker/keycloak/keycloak_setup.sh#L30
List,repo,README.md,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,19,32,32,34,34,44,45,45,45,45,45,47,47,44,48,48,48,48,48,48,48,48,52,52,53,53,53,55,55,53,53,53,53,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/resources/patient-list-example.json#L20
POST,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,10,10,10,10,10,10,10,14,17,23,23,23,23,23,23,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/resources/README.md#L19
PROXY_TO,repo,README.md,-,-,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L40
PUT,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,5,11,11,11,11,11,11,11,17,26,29,29,29,29,29,29,27,27,27,39,39,42,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/resources/README.md#L19
RUN_MODE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L50
SMART,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/main/java/com/google/fhir/proxy/FhirProxyServer.java#L149
TODO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,37,38,39,38,34,34,31,31,31,35,35,35,35,35,35,35,35,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/AllowedQueriesCheckerTest.java#L36
TOKEN_ISSUER,repo,README.md,-,-,1,1,1,1,1,1,1,2,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/BearerAuthorizationInterceptorTest.java#L83
URL,repo,README.md,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,52,52,52,52,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/BearerAuthorizationInterceptorTest.java#L45
access_token,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L124
client_id,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L105
fhir-sdk,repo,README.md,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,2,24,24,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,30,30,31,31,31,31,31,31,31,45,45,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/test/resources/patient_id_search.json#L4
fhirStores,repo,README.md,-,-,0,0,0,0,0,0,0,1,1,1,1,1,1,2,24,24,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,42,42,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/test/resources/patient_id_search.json#L4
fhirUser,repo,README.md,-,-,1,1,1,1,1,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/eb0446a91804a321b70ae8904f3b642928483f18/src/main/java/com/google/fhir/proxy/BearerAuthorizationInterceptor.java#L53
grant_type,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L121
hapi_page_url_allowed_queries.json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/server/src/test/java/com/google/fhir/proxy/AllowedQueriesCheckerTest.java#L46
https,repo,README.md,-,-,1,1,1,1,1,1,4,5,5,5,5,5,5,6,31,33,33,33,33,37,37,37,37,37,37,42,42,42,42,42,42,42,43,45,45,45,45,45,48,48,67,68,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/test/resources/test_patient.json#L33
jetty:run,repo,README.md,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/00798aafa696819df6a590a965665907810ad352/Dockerfile#L37
keycloak_setup,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/docker/keycloak/config-compose.yaml#L24
localhost,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L48
localhost:9080,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/docker/keycloak/keycloak_setup.sh#L49
password,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L107
patient_id,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/plugins/src/main/java/com/google/fhir/proxy/plugin/PatientAccessChecker.java#L43
patient_list,repo,README.md,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/resources/README.md#L13
scope,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,11,11,11,13,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/main/java/com/google/fhir/proxy/interfaces/AccessCheckerFactory.java#L26
test,repo,README.md,-,-,1,1,1,1,1,1,13,14,16,16,16,16,16,18,22,22,24,24,30,31,31,31,31,31,31,31,32,32,32,32,32,32,33,35,35,35,36,36,36,36,38,38,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/fe02843f56dbc4660c3f398c57f58d6a8ab304ac/server/src/test/resources/capability.json#L3
username,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/README.md,https://github.com/google/fhir-access-proxy/blob/522934ccdf633311130a4412330a55f3919c8560/e2e-test/clients.py#L106
