code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
evaluate.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,code_element is a file name
examples,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,39,42,42,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/stereomag/sequence_data_loader.py#L53
fgbg,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L40
imagenet-vgg-verydeep-19.mat,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L64
intrinsics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,101,101,101,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L64
models,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,20,20,19,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L28
models/,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/mpi_from_images.py#L80
mpi_from_images,repo,README.md,1,1,1,1,1,1,2,2,2,2,2,2,-,-,-,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/2f8548a75b74aacdba2f8426440e273915cc333c/mpi_from_images.py#L352
mpi_from_images.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/examples/twain/command_line.txt#L4
output_image_,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/2f8548a75b74aacdba2f8426440e273915cc333c/test.py#L143
pixel,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,24,24,24,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L36
poses,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L63
psv,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L63
ref_image,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L63
rgba_layers,repo,README.md,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L64
single,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L40
src_images,repo,README.md,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L63
stereomag/loader.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,code_element is a file name
test.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,code_element is a file name
tgt_image,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/test.py#L63
tgt_image_,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/2f8548a75b74aacdba2f8426440e273915cc333c/test.py#L141
train.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,code_element is a file name
vgg,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L65
vgg_model_file,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L64
which_color_pred,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/README.md,https://github.com/google/stereo-magnification/blob/f2041f80ed8c340173a6048375ba900201c1f1e7/train.py#L39
