code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,doc_link,source_link
OpenAPI,repo,README.md,6,6,6,18,18,18,18,18,19,19,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/package.json#L7
ProcessedSpec,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/process.js#L28
ProcessedSpec__anchor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/a28049cfe524a2c65312e78a0d9285b990205821/docs/index.html#L167
console.log(tests),repo,README.md,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L76
consumes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L58
customFormatGenerators,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/index.js#L47
customFormats,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/index.js#L46
customValidators,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/index.js#L48
customValues,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,45,45,45,45,45,50,50,50,50,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L121
customValuesFile,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/index.js#L55
customValuesTest,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L138
false,repo,README.md,8,8,8,108,108,108,108,108,108,108,108,108,108,108,108,108,108,118,118,119,119,119,119,119,119,121,121,121,121,123,123,123,123,123,123,123,26,26,26,26,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L401
"generate('/path/to/openapi.yaml', options)",repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L74
host,repo,README.md,59,59,59,72,72,72,72,72,72,72,72,72,72,72,72,72,72,76,76,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,86,86,86,86,86,88,90,90,90,90,90,90,90,90,90,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L38
jsonRefs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/index.js#L45
module_sway,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L264
npm,repo,README.md,3,3,3,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L64
oatts,repo,README.md,6,6,6,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,28,28,28,28,29,29,29,32,32,33,31,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/package.json#L2
openapi.yaml,repo,README.md,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L105
operation.consumes[0],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L192
operation.produces[0],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L199
operation.responses,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L234
operationLevel.handlebars,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/compile.js#L25
pathLevel.handlebars,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/compile.js#L24
paths,repo,README.md,15,15,15,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,38,38,38,38,38,38,38,38,35,35,35,35,35,35,35,35,35,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,36,37,37,37,37,37,37,37,37,37,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L53
petId,repo,README.md,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,37,37,37,37,37,41,41,41,41,41,41,41,41,41,41,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L84
produces,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L100
require('oatts'),repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L68
sample,repo,README.md,13,13,13,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/fe463db8a1f360aa7f859fe6eee1986a21097f78/test/process/documents/swagger.yaml#L3
samples,repo,README.md,-,-,-,-,9,13,13,13,13,13,13,13,13,13,13,13,13,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L84
scheme,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,31,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,37,37,37,37,37,38,39,39,39,39,39,39,39,39,39,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L40
spec,repo,README.md,32,32,32,95,95,95,95,95,95,95,95,95,95,95,95,95,95,100,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,96,96,96,96,96,97,98,98,98,98,98,98,98,98,98,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L27
spec.conumes[0],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L192
spec.host,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L164
spec.paths,repo,README.md,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L171
spec.produces[0],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L199
spec.schemes[0],repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L220
statusCodes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L376
swagger.yaml,repo,README.md,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/process/test.js#L20
templateDir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/docs/index.html#L102
templateHelpers,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,30,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/handlebar-helpers.js#L18
templates,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,40,40,40,40,40,40,40,40,40,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/test/compile/test.js#L52
topLevel.handlebars,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/compile.js#L23
transactionLevel.handlebars,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/README.md,https://github.com/google/oatts/blob/c791912d89e41994c9641ac363c72a627328feea/lib/compile.js#L26
