code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,doc_link,source_link
load_module,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/packaging/build_deb#L57
location,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L21
ngx_http_core_module,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L408
ngx_http_sxg_filter_module,repo,README.md,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/packaging/build_deb#L57
ngx_module_libs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/config#L26
off,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L28
on,repo,README.md,22,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,30,30,30,30,30,30,30,30,30,30,30,30,30,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L9
server,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L3
server_name,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L7
sxg_cert_url,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L14
sxg_certificate,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L12
sxg_certificate_key,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L13
sxg_expires_seconds,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/72337acac27a089638ca3d3a9ff16e4da9c50632/ngx_http_sxg_filter_module.c#L103
sxg_expiry_seconds,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L108
sxg_fallback_host,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/ngx_http_sxg_filter_module.c#L111
sxg_validity_url,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/test/nginx-sxg.conf#L15
upstream,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/README.md,https://github.com/google/nginx-sxg-module/blob/606cd1a85dbf543feff14cdbc33284a0442e5ae2/packaging/build_deb#L52
